ballotID,rank1,rank2,rank3
1,Nate Downey,skipped,skipped
2,Joe H. Arellano,skipped,skipped
3,Joe H. Arellano,Carol Romero-Wirth,skipped
4,skipped,skipped,skipped
5,Nate Downey,Carol Romero-Wirth,Joe H. Arellano
6,Nate Downey,Carol Romero-Wirth,Joe H. Arellano
7,Nate Downey,skipped,skipped
8,Carol Romero-Wirth,Nate Downey,skipped
9,Nate Downey,Carol Romero-Wirth,skipped
10,Nate Downey,skipped,skipped
11,Carol Romero-Wirth,Nate Downey,Joe H. Arellano
12,Carol Romero-Wirth,Joe H. Arellano,skipped
13,Carol Romero-Wirth,Joe H. Arellano,Nate Downey
14,Carol Romero-Wirth,Joe H. Arellano,Nate Downey
15,Carol Romero-Wirth,Nate Downey,Joe H. Arellano
16,Joe H. Arellano,Carol Romero-Wirth,Nate Downey
17,Joe H. Arellano,Carol Romero-Wirth,Nate Downey
18,Carol Romero-Wirth,Nate Downey,Joe H. Arellano
19,Carol Romero-Wirth,Nate Downey,skipped
20,Carol Romero-Wirth,Nate Downey,Joe H. Arellano
21,Carol Romero-Wirth,Joe H. Arellano,Nate Downey
22,skipped,skipped,skipped
23,Nate Downey,Carol Romero-Wirth,Joe H. Arellano
24,Nate Downey,Carol Romero-Wirth,skipped
25,Nate Downey,Joe H. Arellano,Carol Romero-Wirth
26,Carol Romero-Wirth,Nate Downey,Joe H. Arellano
27,Carol Romero-Wirth,Nate Downey,skipped
28,Carol Romero-Wirth,Nate Downey,skipped
29,Carol Romero-Wirth,Nate Downey,Joe H. Arellano
30,Carol Romero-Wirth,Joe H. Arellano,Nate Downey
31,Joe H. Arellano,Nate Downey,Carol Romero-Wirth
32,Joe H. Arellano,Carol Romero-Wirth,Nate Downey
33,Carol Romero-Wirth,Nate Downey,skipped
34,Carol Romero-Wirth,Joe H. Arellano,Nate Downey
35,Carol Romero-Wirth,Nate Downey,Joe H. Arellano
36,skipped,skipped,skipped
37,Nate Downey,Carol Romero-Wirth,skipped
38,Carol Romero-Wirth,Nate Downey,Joe H. Arellano
39,Nate Downey,Carol Romero-Wirth,Joe H. Arellano
40,Nate Downey,skipped,skipped
41,Nate Downey,Carol Romero-Wirth,Joe H. Arellano
42,Nate Downey,Carol Romero-Wirth,Joe H. Arellano
43,Nate Downey,Carol Romero-Wirth,skipped
44,Carol Romero-Wirth,Nate Downey,Joe H. Arellano
45,Carol Romero-Wirth,Nate Downey,Joe H. Arellano
46,Carol Romero-Wirth,Nate Downey,Joe H. Arellano
47,Carol Romero-Wirth,Nate Downey,skipped
48,Carol Romero-Wirth,Nate Downey,Joe H. Arellano
49,Carol Romero-Wirth,Nate Downey,Joe H. Arellano
50,Carol Romero-Wirth,Nate Downey,Joe H. Arellano
51,Carol Romero-Wirth,Nate Downey,Joe H. Arellano
52,Carol Romero-Wirth,Nate Downey,Joe H. Arellano
53,Carol Romero-Wirth,Nate Downey,Joe H. Arellano
54,Carol Romero-Wirth,Joe H. Arellano,Nate Downey
55,Carol Romero-Wirth,Nate Downey,skipped
56,Nate Downey,Carol Romero-Wirth,Joe H. Arellano
57,Nate Downey,Carol Romero-Wirth,Joe H. Arellano
58,Carol Romero-Wirth,Nate Downey,Joe H. Arellano
59,skipped,skipped,skipped
60,Nate Downey,Carol Romero-Wirth,skipped
61,skipped,skipped,skipped
62,skipped,skipped,skipped
63,Nate Downey,Carol Romero-Wirth,Joe H. Arellano
64,Nate Downey,Carol Romero-Wirth,Joe H. Arellano
65,Carol Romero-Wirth,Nate Downey,Joe H. Arellano
66,Nate Downey,Carol Romero-Wirth,Joe H. Arellano
67,Nate Downey,Carol Romero-Wirth,skipped
68,Carol Romero-Wirth,Nate Downey,Joe H. Arellano
69,Joe H. Arellano,Carol Romero-Wirth,skipped
70,Carol Romero-Wirth,Nate Downey,Joe H. Arellano
71,Carol Romero-Wirth,Nate Downey,skipped
72,Nate Downey,skipped,skipped
73,Nate Downey,skipped,skipped
74,Carol Romero-Wirth,Nate Downey,Joe H. Arellano
75,Carol Romero-Wirth,skipped,skipped
76,Carol Romero-Wirth,Nate Downey,Joe H. Arellano
77,Carol Romero-Wirth,Nate Downey,skipped
78,Nate Downey,Carol Romero-Wirth,Joe H. Arellano
79,Carol Romero-Wirth,Nate Downey,Joe H. Arellano
80,Carol Romero-Wirth,Nate Downey,Joe H. Arellano
81,Carol Romero-Wirth,Nate Downey,skipped
82,Carol Romero-Wirth,Nate Downey,skipped
83,Carol Romero-Wirth,Nate Downey,Joe H. Arellano
84,Carol Romero-Wirth,skipped,skipped
85,Joe H. Arellano,Carol Romero-Wirth,Nate Downey
86,Carol Romero-Wirth,Nate Downey,skipped
87,Carol Romero-Wirth,Nate Downey,Joe H. Arellano
88,Joe H. Arellano,Carol Romero-Wirth,Nate Downey
89,Carol Romero-Wirth,Nate Downey,Joe H. Arellano
90,Carol Romero-Wirth,Nate Downey,Joe H. Arellano
91,Carol Romero-Wirth,Nate Downey,Joe H. Arellano
92,Carol Romero-Wirth,Nate Downey,skipped
93,Carol Romero-Wirth,Nate Downey,Joe H. Arellano
94,Carol Romero-Wirth,skipped,skipped
95,Carol Romero-Wirth,skipped,skipped
96,Joe H. Arellano,Carol Romero-Wirth,Nate Downey
97,Nate Downey,Carol Romero-Wirth,Joe H. Arellano
98,Carol Romero-Wirth,Nate Downey,Joe H. Arellano
99,Carol Romero-Wirth,skipped,skipped
100,Carol Romero-Wirth,Nate Downey,Joe H. Arellano
101,Carol Romero-Wirth,Joe H. Arellano,skipped
102,Joe H. Arellano,skipped,skipped
103,Nate Downey,skipped,skipped
104,Nate Downey,Carol Romero-Wirth,Joe H. Arellano
105,Nate Downey,Carol Romero-Wirth,Joe H. Arellano
106,Nate Downey,Carol Romero-Wirth,Joe H. Arellano
107,Carol Romero-Wirth,skipped,skipped
108,Nate Downey,Joe H. Arellano,Carol Romero-Wirth
109,Nate Downey,Carol Romero-Wirth,Joe H. Arellano
110,Carol Romero-Wirth,Nate Downey,Joe H. Arellano
111,Carol Romero-Wirth,Nate Downey,Joe H. Arellano
112,Carol Romero-Wirth,Nate Downey,Joe H. Arellano
113,Joe H. Arellano,Nate Downey,skipped
114,Nate Downey,Joe H. Arellano,Carol Romero-Wirth
115,Carol Romero-Wirth,skipped,skipped
116,Nate Downey,Carol Romero-Wirth,Joe H. Arellano
117,Nate Downey,Carol Romero-Wirth,Joe H. Arellano
118,Nate Downey,Carol Romero-Wirth,skipped
119,Carol Romero-Wirth,Nate Downey,skipped
120,Nate Downey,Carol Romero-Wirth,Joe H. Arellano
121,Carol Romero-Wirth,Nate Downey,Joe H. Arellano
122,Nate Downey,Carol Romero-Wirth,skipped
123,Carol Romero-Wirth,Nate Downey,Joe H. Arellano
124,Carol Romero-Wirth,Joe H. Arellano,Nate Downey
125,Joe H. Arellano,Nate Downey,Carol Romero-Wirth
126,Carol Romero-Wirth,Joe H. Arellano,Nate Downey
127,Carol Romero-Wirth,Joe H. Arellano,Nate Downey
128,Carol Romero-Wirth,Nate Downey,Joe H. Arellano
129,Carol Romero-Wirth,Nate Downey,Joe H. Arellano
130,Carol Romero-Wirth,Nate Downey,Joe H. Arellano
131,Nate Downey,Carol Romero-Wirth,Joe H. Arellano
132,Carol Romero-Wirth,Nate Downey,Joe H. Arellano
133,Carol Romero-Wirth,skipped,skipped
134,Carol Romero-Wirth,Nate Downey,skipped
135,Nate Downey,Carol Romero-Wirth,skipped
