ranks,ballotID,rank1,rank2,rank3,rank4
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley']",1,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards']",2,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
"['Sarah A. Lucido', 'Harvey Curley', 'Mary Hall-Rayford', 'Larry Edwards']",3,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards
"['Larry Edwards', 'Mary Hall-Rayford', 'Harvey Curley', 'Sarah A. Lucido']",4,Larry Edwards,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards']",5,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
"['Mary Hall-Rayford', 'Harvey Curley', 'skipped', 'skipped']",6,Mary Hall-Rayford,Harvey Curley,skipped,skipped
"['Larry Edwards', 'Harvey Curley', 'Sarah A. Lucido', 'skipped']",7,Larry Edwards,Harvey Curley,Sarah A. Lucido,skipped
"['overvote', 'skipped', 'skipped', 'skipped']",8,overvote,skipped,skipped,skipped
"['Mary Hall-Rayford', 'Mary Hall-Rayford', 'Mary Hall-Rayford', 'Mary Hall-Rayford']",9,Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Harvey Curley', 'Mary Hall-Rayford']",10,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Mary Hall-Rayford
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'skipped', 'skipped']",11,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
"['Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley', 'skipped']",12,Mary Hall-Rayford,Larry Edwards,Harvey Curley,skipped
