ballotID,rank1,rank2,rank3,rank4
1,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
2,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
3,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards
4,Larry Edwards,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido
5,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
6,Mary Hall-Rayford,Harvey Curley,skipped,skipped
7,Larry Edwards,Harvey Curley,Sarah A. Lucido,skipped
8,overvote,skipped,skipped,skipped
9,Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford
10,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Mary Hall-Rayford
11,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
12,Mary Hall-Rayford,Larry Edwards,Harvey Curley,skipped
13,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
14,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
15,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,Larry Edwards
16,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley
17,skipped,skipped,skipped,skipped
18,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,writein
19,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
20,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
21,Mary Hall-Rayford,skipped,skipped,skipped
22,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley
23,Mary Hall-Rayford,skipped,skipped,skipped
24,Mary Hall-Rayford,Larry Edwards,Harvey Curley,Sarah A. Lucido
25,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley
26,Larry Edwards,skipped,skipped,skipped
27,Sarah A. Lucido,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford
28,Mary Hall-Rayford,Harvey Curley,Larry Edwards,Sarah A. Lucido
