"condorcet winner: Galluccio, Anthony D.","Condit, James E., III","Davis, Henrietta","Decker, Marjorie C.","Dixon, Vincent Lawrence","Galluccio, Anthony D.","Hall, Robert L.","Horowitz, Jacob","Iskovitz, Steve","Jens, Steven E.","King, Ethridge A.","Maher, David P.","Murphy, Brian","Peixoto, Helder","Pitkin, John","Reeves, Kenneth E.","Simmons, Denise","Sullivan, Michael A.","Toomey, Timothy J., Jr.","Williamson, James M.",writeIns
"Condit, James E., III",,8.48,8.70,46.83,5.92,39.50,24.11,35.06,43.89,15.62,9.87,10.55,42.09,13.65,11.12,8.90,7.89,9.66,47.03,91.47
"Davis, Henrietta",91.52,,52.35,90.64,45.67,88.41,87.05,87.26,89.75,75.18,58.83,57.30,90.19,67.33,61.14,54.54,54.15,58.82,92.38,98.89
"Decker, Marjorie C.",91.30,47.65,,90.61,44.29,88.84,79.96,87.10,89.21,69.91,57.79,56.18,89.74,63.86,62.00,52.75,52.62,57.92,92.34,98.96
"Dixon, Vincent Lawrence",53.17,9.36,9.39,,8.49,46.30,28.56,40.74,52.11,18.92,12.99,13.69,48.62,16.48,13.63,10.46,10.52,12.86,56.32,92.50
"Galluccio, Anthony D.",94.08,54.33,55.71,91.51,,91.35,78.90,86.90,92.53,69.82,70.48,60.51,92.51,66.35,66.81,57.18,65.76,70.37,93.87,99.00
"Hall, Robert L.",60.50,11.59,11.16,53.70,8.65,,34.91,48.47,59.04,23.15,15.14,16.33,55.45,20.70,16.62,13.18,13.50,16.27,62.35,94.05
"Horowitz, Jacob",75.89,12.95,20.04,71.44,21.10,65.09,,67.65,74.56,35.71,30.58,21.28,71.87,28.99,31.03,18.65,28.48,32.32,77.32,96.45
"Iskovitz, Steve",64.94,12.74,12.90,59.26,13.10,51.53,32.35,,63.29,26.02,20.35,17.91,59.98,22.44,20.42,14.86,18.56,21.46,68.41,95.02
"Jens, Steven E.",56.11,10.25,10.79,47.89,7.47,40.96,25.44,36.71,,19.76,12.42,14.06,49.15,17.30,14.59,11.82,10.99,13.45,56.67,92.62
"King, Ethridge A.",84.38,24.82,30.09,81.08,30.18,76.85,64.29,73.98,80.24,,42.13,35.09,81.73,44.66,41.37,29.50,39.32,44.07,85.63,97.76
"Maher, David P.",90.13,41.17,42.21,87.01,29.52,84.86,69.42,79.65,87.58,57.87,,49.78,87.32,55.93,53.29,45.04,46.45,53.87,90.16,98.43
"Murphy, Brian",89.45,42.70,43.82,86.31,39.49,83.67,78.72,82.09,85.94,64.91,50.22,,86.86,63.09,55.37,48.20,48.22,52.63,90.18,98.49
"Peixoto, Helder",57.91,9.81,10.26,51.38,7.49,44.55,28.13,40.02,50.85,18.27,12.68,13.14,,18.71,15.39,11.89,11.63,13.54,60.64,93.27
"Pitkin, John",86.35,32.67,36.14,83.52,33.65,79.30,71.01,77.56,82.70,55.34,44.07,36.91,81.29,,47.15,38.97,42.31,46.74,87.97,97.92
"Reeves, Kenneth E.",88.88,38.86,38.00,86.37,33.19,83.38,68.97,79.58,85.41,58.63,46.71,44.63,84.61,52.85,,42.77,44.59,50.21,89.71,98.31
"Simmons, Denise",91.10,45.46,47.25,89.54,42.82,86.82,81.35,85.14,88.18,70.50,54.96,51.80,88.11,61.03,57.23,,53.04,57.13,92.55,98.70
"Sullivan, Michael A.",92.11,45.85,47.38,89.48,34.24,86.50,71.52,81.44,89.01,60.68,53.55,51.78,88.37,57.69,55.41,46.96,,61.31,92.25,98.58
"Toomey, Timothy J., Jr.",90.34,41.18,42.08,87.14,29.63,83.73,67.68,78.54,86.55,55.93,46.13,47.37,86.46,53.26,49.79,42.87,38.69,,90.65,98.30
"Williamson, James M.",52.97,7.62,7.66,43.68,6.13,37.65,22.68,31.59,43.33,14.37,9.84,9.82,39.36,12.03,10.29,7.45,7.75,9.35,,91.03
writeIns,8.53,1.11,1.04,7.50,1.00,5.95,3.55,4.98,7.38,2.24,1.57,1.51,6.73,2.08,1.69,1.30,1.42,1.70,8.97,
