condorcet winner: Sean R. Elsbernd,Art Belenson,Christine Linnenbach,David Parker,Gregory Corrales,Isaac Wang,Michael Patrick Mallen,Milton `Rennie` O`Brien,Pat Lakey,Sean R. Elsbernd,Shawn Reifsteck,Sheela Kini,Svelana Kaff,Vernon C. Grigg III
Art Belenson,,1678.00,2213.00,1996.00,2045.00,2175.00,2045.00,2190.00,1455.00,2153.00,2230.00,2207.00,2080.00
Christine Linnenbach,14544.00,,14660.00,13682.00,14025.00,14276.00,13671.00,14360.00,10491.00,14253.00,14656.00,14546.00,13477.00
David Parker,1940.00,1629.00,,1745.00,1736.00,1835.00,1737.00,1905.00,1460.00,1863.00,1936.00,1893.00,1863.00
Gregory Corrales,6820.00,5591.00,6834.00,,6501.00,6605.00,6127.00,6784.00,4744.00,6782.00,6843.00,6817.00,6483.00
Isaac Wang,5958.00,5102.00,5938.00,5554.00,,5845.00,5481.00,5894.00,4608.00,5824.00,5949.00,5932.00,5667.00
Michael Patrick Mallen,3968.00,3137.00,3910.00,3454.00,3692.00,,3523.00,3898.00,2774.00,3854.00,3994.00,3981.00,3742.00
Milton `Rennie` O`Brien,8175.00,6291.00,8154.00,7420.00,7462.00,7910.00,,7998.00,5860.00,7758.00,8109.00,8183.00,7787.00
Pat Lakey,3514.00,2832.00,3513.00,3354.00,3386.00,3373.00,3218.00,,2134.00,3304.00,3503.00,3538.00,3266.00
Sean R. Elsbernd,16442.00,13834.00,16569.00,15684.00,15861.00,16277.00,15663.00,16343.00,,16107.00,16588.00,16488.00,15514.00
Shawn Reifsteck,4929.00,2970.00,4890.00,4789.00,4702.00,4821.00,4474.00,4851.00,4073.00,,4845.00,4935.00,4536.00
Sheela Kini,1838.00,1453.00,1804.00,1702.00,1556.00,1800.00,1494.00,1770.00,1617.00,1601.00,,1848.00,1821.00
Svelana Kaff,1796.00,1398.00,1767.00,1665.00,1704.00,1781.00,1613.00,1744.00,1424.00,1713.00,1766.00,,1684.00
Vernon C. Grigg III,6519.00,4608.00,6576.00,6113.00,6292.00,6439.00,6193.00,6415.00,4507.00,6267.00,6609.00,6547.00,
