condorcet winner: Annie Young,Annie Young,Bob Fine,David Wahstedt,John Butler,John Erwin,Mary Merrill Anderson,Nancy Bernard,Phil Willkie,Tom Nordyke,writeIns
Annie Young,,54.89,77.80,85.46,53.66,55.93,78.56,99.99,60.77,98.18
Bob Fine,45.11,,74.35,83.98,50.04,50.16,71.70,99.99,52.78,97.80
David Wahstedt,22.20,25.65,,63.33,26.06,25.60,45.01,99.98,27.73,94.09
John Butler,14.54,16.02,36.67,,17.89,17.54,32.45,99.97,19.22,90.42
John Erwin,46.34,49.96,73.94,82.11,,49.78,69.14,99.99,59.45,97.66
Mary Merrill Anderson,44.07,49.84,74.40,82.46,50.22,,71.46,99.99,54.84,97.73
Nancy Bernard,21.44,28.30,54.99,67.55,30.86,28.54,,100.00,32.30,94.84
Phil Willkie,0.01,0.01,0.02,0.03,0.01,0.01,0.00,,0.01,0.30
Tom Nordyke,39.23,47.22,72.27,80.78,40.55,45.16,67.70,99.99,,97.41
writeIns,1.82,2.20,5.91,9.58,2.34,2.27,5.16,99.70,2.59,
