condorcet winner: LIBBY SCHAAF,BRYAN PARKER,CHARLES R. WILLIAMS,COURTNEY RUBY,DAN SIEGEL,ERIC WILSON,JASON ANDERSON,JEAN QUAN,JOE TUMAN,KEN HOUSTON,LIBBY SCHAAF,NANCY SIDEBOTHAM,PAT MCCULLOUGH,PETER LIU,REBECCA KAPLAN,SAIED KARAMOOZ,SAMMUEL WASHINGTON
BRYAN PARKER,,88.37,60.95,40.79,91.40,85.61,39.91,35.72,92.80,22.62,93.86,92.95,90.52,34.31,90.08,99.65
CHARLES R. WILLIAMS,11.63,,18.30,8.66,60.05,46.53,8.21,8.33,63.49,5.33,69.22,64.62,58.11,6.30,57.39,97.49
COURTNEY RUBY,39.05,81.70,,30.37,86.64,79.02,29.76,24.73,88.46,13.57,91.88,89.10,86.12,24.04,85.60,99.42
DAN SIEGEL,59.21,91.34,69.63,,94.74,91.45,49.61,47.90,94.75,32.45,95.86,95.09,93.42,43.26,94.43,99.78
ERIC WILSON,8.60,39.95,13.36,5.26,,36.73,5.74,5.97,54.18,3.61,60.72,55.15,48.62,4.22,47.87,96.45
JASON ANDERSON,14.39,53.47,20.98,8.55,63.27,,10.29,10.07,66.77,6.14,72.21,67.95,61.71,7.59,72.02,97.87
JEAN QUAN,60.09,91.79,70.24,50.39,94.26,89.71,,48.60,94.84,32.39,96.01,95.10,95.02,43.83,93.02,99.76
JOE TUMAN,64.28,91.67,75.27,52.10,94.03,89.93,51.40,,95.10,29.86,96.30,95.37,94.03,45.37,93.46,99.77
KEN HOUSTON,7.20,36.51,11.54,5.25,45.82,33.23,5.16,4.90,,2.99,56.45,50.90,44.30,3.97,44.11,95.87
LIBBY SCHAAF,77.38,94.67,86.43,67.55,96.39,93.86,67.61,70.14,97.01,,97.86,97.10,96.40,63.20,96.07,99.88
NANCY SIDEBOTHAM,6.14,30.78,8.12,4.14,39.28,27.79,3.99,3.70,43.55,2.14,,44.09,37.84,2.81,37.49,94.65
PAT MCCULLOUGH,7.05,35.38,10.90,4.91,44.85,32.05,4.90,4.63,49.10,2.90,55.91,,43.45,3.73,42.96,95.82
PETER LIU,9.48,41.89,13.88,6.58,51.38,38.29,4.98,5.97,55.70,3.60,62.16,56.55,,4.80,49.42,96.63
REBECCA KAPLAN,65.69,93.70,75.96,56.74,95.78,92.41,56.17,54.63,96.03,36.80,97.19,96.27,95.20,,94.88,99.81
SAIED KARAMOOZ,9.92,42.61,14.40,5.57,52.13,27.98,6.98,6.54,55.89,3.93,62.51,57.04,50.58,5.12,,96.72
SAMMUEL WASHINGTON,0.35,2.51,0.58,0.22,3.55,2.13,0.24,0.23,4.13,0.12,5.35,4.18,3.37,0.19,3.28,
