"condorcet winner: Nolan, Patricia M.","Bowman, Manikka L.","Cronin, Fran A.","Crutchfield, Jake W.","Dexter, Emily R.","Fantini, Alfred B.","Kadete, Elechi M.","Kelly, Kathleen M.","Kimbrough, Laurance V.","MacArthur, William","Mitros, Piotr Flawiusz","Nolan, Patricia M.","Weinstein, David J.",writeIns
"Bowman, Manikka L.",,8537.00,8949.00,7087.00,8255.00,9012.00,7480.00,8340.00,9142.00,9294.00,6272.00,8979.00,10164.00
"Cronin, Fran A.",4493.00,,6123.00,4762.00,5596.00,6094.00,5183.00,5677.00,6178.00,6253.00,4316.00,5979.00,7274.00
"Crutchfield, Jake W.",3645.00,4031.00,,3196.00,4436.00,4377.00,4128.00,4158.00,4473.00,4604.00,3216.00,4377.00,5705.00
"Dexter, Emily R.",7059.00,8741.00,9391.00,,9075.00,9645.00,8064.00,9004.00,9732.00,9877.00,6536.00,9574.00,10802.00
"Fantini, Alfred B.",5469.00,6550.00,6955.00,5302.00,,7139.00,5927.00,6740.00,7296.00,7322.00,5179.00,7105.00,8162.00
"Kadete, Elechi M.",3146.00,3971.00,3965.00,2968.00,4180.00,,3960.00,3927.00,4438.00,4480.00,3125.00,4251.00,5537.00
"Kelly, Kathleen M.",5880.00,7105.00,7970.00,5711.00,6611.00,8046.00,,7642.00,8258.00,8335.00,5560.00,8064.00,9123.00
"Kimbrough, Laurance V.",4376.00,5073.00,5386.00,4408.00,5164.00,5372.00,5030.00,,5726.00,5799.00,4583.00,5619.00,6767.00
"MacArthur, William",3103.00,3542.00,3292.00,2596.00,3608.00,3580.00,3405.00,3257.00,,3906.00,2783.00,3791.00,5010.00
"Mitros, Piotr Flawiusz",2469.00,2793.00,2729.00,1981.00,2966.00,2767.00,2671.00,2760.00,2862.00,,2099.00,3018.00,4154.00
"Nolan, Patricia M.",8934.00,10073.00,10526.00,8145.00,9745.00,10695.00,8980.00,10067.00,10819.00,10959.00,,10831.00,11961.00
"Weinstein, David J.",3509.00,3867.00,3970.00,2934.00,4083.00,4141.00,3794.00,3772.00,4159.00,4137.00,2855.00,,5511.00
writeIns,150.00,143.00,151.00,142.00,149.00,146.00,144.00,137.00,153.00,159.00,134.00,154.00,
