"condorcet winner: Galluccio, Anthony D.","Bellew, Carole K.","Davis, Henrietta","DeBergalis, Matt S.","Decker, Marjorie C.","Dixon, Vincent Lawrence","Galluccio, Anthony D.","Greenwood, Dan J.","Hall, Robert L., Sr.","Kelley, Craig A.","King, Ethridge A., Jr.","LaTremouille, Robert J.","Maher, David P.","Murphy, Brian","Pitkin, John","Reeves, Kenneth E.","Simmons, Denise","Smith, Aimee Louise","Sullivan, Michael A.","Taymorberry, Laurie","Toomey, Timothy J., Jr.",writeIns
"Bellew, Carole K.",,3174.00,4445.00,3770.00,5007.00,3888.00,5026.00,4930.00,4297.00,4427.00,4936.00,4148.00,3440.00,3981.00,4162.00,3635.00,4508.00,4046.00,4300.00,4083.00,5394.00
"Davis, Henrietta",7602.00,,8201.00,6633.00,8788.00,6852.00,8846.00,8752.00,7981.00,8310.00,8747.00,7463.00,6520.00,7652.00,7025.00,6609.00,8312.00,7119.00,8248.00,7375.00,9095.00
"DeBergalis, Matt S.",2896.00,2581.00,,3148.00,3910.00,3194.00,3933.00,3864.00,3509.00,3390.00,3869.00,3376.00,2817.00,3340.00,3378.00,2949.00,3527.00,3255.00,3390.00,3337.00,4335.00
"Decker, Marjorie C.",7269.00,5295.00,7663.00,,8308.00,6262.00,8376.00,8291.00,7573.00,7875.00,8283.00,6938.00,6272.00,7235.00,6535.00,6075.00,7870.00,6476.00,7883.00,6855.00,8639.00
"Dixon, Vincent Lawrence",1119.00,1001.00,1201.00,1008.00,,1063.00,1581.00,1507.00,1338.00,1335.00,1553.00,1152.00,1136.00,1222.00,1142.00,1064.00,1294.00,989.00,1260.00,1073.00,2030.00
"Galluccio, Anthony D.",9194.00,8008.00,9479.00,8106.00,9984.00,,10150.00,10047.00,9424.00,9592.00,10085.00,8221.00,8667.00,9370.00,8471.00,8539.00,9835.00,7517.00,9811.00,8036.00,10378.00
"Greenwood, Dan J.",838.00,791.00,880.00,777.00,974.00,697.00,,1171.00,1034.00,1045.00,1236.00,891.00,886.00,990.00,894.00,876.00,1040.00,791.00,999.00,835.00,1698.00
"Hall, Robert L., Sr.",1291.00,1220.00,1395.00,1180.00,1557.00,953.00,1467.00,,1520.00,1479.00,1773.00,1273.00,1373.00,1492.00,1272.00,1245.00,1586.00,1112.00,1523.00,1193.00,2224.00
"Kelley, Craig A.",3410.00,2971.00,3582.00,3020.00,3959.00,3069.00,3903.00,3825.00,,3835.00,4141.00,3474.00,3150.00,3420.00,3534.00,3306.00,3833.00,3370.00,3827.00,3493.00,4579.00
"King, Ethridge A., Jr.",2831.00,2203.00,3032.00,2659.00,3701.00,2702.00,3669.00,3539.00,3224.00,,3826.00,3158.00,2694.00,3305.00,2810.00,2372.00,3560.00,3024.00,3305.00,3166.00,4273.00
"LaTremouille, Robert J.",1200.00,1067.00,1270.00,1106.00,1436.00,1018.00,1403.00,1272.00,1150.00,1180.00,,1249.00,1226.00,1306.00,1225.00,1188.00,1390.00,1116.00,1389.00,1173.00,2084.00
"Maher, David P.",6757.00,5588.00,7078.00,5739.00,7464.00,3959.00,7522.00,7423.00,6893.00,6988.00,7463.00,,6135.00,6928.00,6374.00,6258.00,7376.00,4962.00,7266.00,5632.00,7904.00
"Murphy, Brian",6462.00,4916.00,6724.00,5377.00,7457.00,5411.00,7504.00,7426.00,6683.00,6957.00,7431.00,5696.00,,6607.00,6262.00,5779.00,7195.00,5802.00,7096.00,6190.00,7869.00
"Pitkin, John",3835.00,3224.00,4158.00,3475.00,4506.00,3517.00,4503.00,4399.00,3745.00,4062.00,4403.00,3718.00,3280.00,,3988.00,3685.00,4329.00,3807.00,4284.00,3909.00,5038.00
"Reeves, Kenneth E.",6319.00,5051.00,6557.00,4850.00,7037.00,4918.00,7091.00,7010.00,6437.00,6659.00,7003.00,5557.00,5305.00,6243.00,,5238.00,6786.00,5523.00,6754.00,5810.00,7428.00
"Simmons, Denise",6697.00,4959.00,7163.00,5409.00,7734.00,5869.00,7779.00,7710.00,7002.00,7249.00,7701.00,6399.00,5493.00,6729.00,5464.00,,7400.00,6412.00,7373.00,6714.00,8094.00
"Smith, Aimee Louise",2403.00,2034.00,2430.00,1968.00,2790.00,2225.00,2774.00,2670.00,2406.00,2484.00,2720.00,2371.00,2139.00,2344.00,2124.00,1844.00,,2366.00,2543.00,2407.00,3272.00
"Sullivan, Michael A.",7981.00,7029.00,8181.00,7108.00,8606.00,4902.00,8655.00,8539.00,8049.00,8086.00,8569.00,6166.00,7267.00,7952.00,6970.00,7059.00,8346.00,,8441.00,6631.00,8942.00
"Taymorberry, Laurie",2468.00,1859.00,2687.00,2119.00,3190.00,2523.00,3211.00,3142.00,2733.00,2647.00,3129.00,2677.00,1999.00,2552.00,2485.00,1727.00,2567.00,2563.00,,2777.00,3663.00
"Toomey, Timothy J., Jr.",6858.00,6056.00,6960.00,5993.00,7341.00,4074.00,7423.00,7324.00,6899.00,6897.00,7349.00,5077.00,6211.00,6826.00,5914.00,5960.00,7107.00,4185.00,7075.00,,7696.00
writeIns,155.00,158.00,146.00,153.00,167.00,130.00,170.00,173.00,154.00,156.00,175.00,143.00,150.00,155.00,158.00,151.00,162.00,143.00,160.00,150.00,
