"condorcet winner: Nolan, Patricia M.","Cronin, Fran Albin","Fantini, Alfred B.","Gerber, Joyce C.","Harding, Jr., Richard","Holland, John J.","Kadete, Elechi M.","Kelly, Kathleen M.","Nolan, Patricia M.","Osborne, Mervan F.",writeIns
"Cronin, Fran Albin",,5117.00,5008.00,4902.00,5676.00,5582.00,4351.00,3820.00,4683.00,6625.00
"Fantini, Alfred B.",6229.00,,6543.00,5526.00,7074.00,7043.00,6136.00,4898.00,5710.00,7943.00
"Gerber, Joyce C.",3923.00,4308.00,,4307.00,5071.00,5045.00,3833.00,3018.00,4184.00,6035.00
"Harding, Jr., Richard",6424.00,5513.00,6652.00,,7451.00,7348.00,6208.00,4937.00,6034.00,8222.00
"Holland, John J.",2473.00,2271.00,2368.00,2343.00,,3063.00,2423.00,2003.00,2601.00,4020.00
"Kadete, Elechi M.",2427.00,2625.00,2514.00,2213.00,2856.00,,2264.00,2019.00,2425.00,4067.00
"Kelly, Kathleen M.",5464.00,5555.00,5743.00,5271.00,6445.00,6376.00,,4479.00,5542.00,7428.00
"Nolan, Patricia M.",8233.00,7983.00,8577.00,7759.00,9296.00,9230.00,7917.00,,8376.00,10108.00
"Osborne, Mervan F.",5252.00,5038.00,5441.00,4395.00,6158.00,6059.00,4940.00,3316.00,,7012.00
writeIns,138.00,144.00,145.00,129.00,149.00,153.00,135.00,121.00,145.00,
