"condorcet winner: Nolan, Patricia M.","Bowman, Manikka L.","Cronin, Fran A.","Crutchfield, Jake W.","Dexter, Emily R.","Fantini, Alfred B.","Kadete, Elechi M.","Kelly, Kathleen M.","Kimbrough, Laurance V.","MacArthur, William","Mitros, Piotr Flawiusz","Nolan, Patricia M.","Weinstein, David J.",writeIns
"Bowman, Manikka L.",,65.52,71.06,50.10,60.15,74.12,55.99,65.59,74.66,79.01,41.25,71.90,98.55
"Cronin, Fran A.",34.48,,60.30,35.27,46.07,60.55,42.18,52.81,63.56,69.12,30.00,60.73,98.07
"Crutchfield, Jake W.",28.94,39.70,,25.39,38.94,52.47,34.12,43.57,57.60,62.78,23.40,52.44,97.42
"Dexter, Emily R.",49.90,64.73,74.61,,63.12,76.47,58.54,67.13,78.94,83.29,44.52,76.54,98.70
"Fantini, Alfred B.",39.85,53.93,61.06,36.88,,63.07,47.27,56.62,66.91,71.17,34.70,63.51,98.21
"Kadete, Elechi M.",25.88,39.45,47.53,23.53,36.93,,32.98,42.23,55.35,61.82,22.61,50.66,97.43
"Kelly, Kathleen M.",44.01,57.82,65.88,41.46,52.73,67.02,,60.31,70.81,75.73,38.24,68.00,98.45
"Kimbrough, Laurance V.",34.41,47.19,56.43,32.87,43.38,57.77,39.69,,63.74,67.75,31.28,59.83,98.02
"MacArthur, William",25.34,36.44,42.40,21.06,33.09,44.65,29.19,36.26,,57.71,20.46,47.69,97.04
"Mitros, Piotr Flawiusz",20.99,30.88,37.22,16.71,28.83,38.18,24.27,32.25,42.29,,16.07,42.18,96.31
"Nolan, Patricia M.",58.75,70.00,76.60,55.48,65.30,77.39,61.76,68.72,79.54,83.93,,79.14,98.89
"Weinstein, David J.",28.10,39.27,47.56,23.46,36.49,49.34,32.00,40.17,52.31,57.82,20.86,,97.28
writeIns,1.45,1.93,2.58,1.30,1.79,2.57,1.55,1.98,2.96,3.69,1.11,2.72,
