condorcet winner: KEN MIYAGISHIMA,ALEXANDER PAIGE FRESQUEZ,BEV COURTNEY,EUGENIA (GINA) MONTOYA ORTEGA,GREGORY Z SMITH,ISABELLA SOLIS,JESUSITA DOLORES LUCERO,JORGE SANCHEZ,KEN MIYAGISHIMA,MIKE A TELLEZ,WILLIAM BILL MATTIACE
ALEXANDER PAIGE FRESQUEZ,,2123.00,2039.00,2124.00,1754.00,2222.00,2281.00,2233.00,1655.00,1672.00
BEV COURTNEY,4336.00,,3438.00,3444.00,3129.00,3700.00,3904.00,3276.00,2232.00,2775.00
EUGENIA (GINA) MONTOYA ORTEGA,5068.00,4296.00,,4233.00,3693.00,3991.00,5033.00,3644.00,3787.00,3060.00
GREGORY Z SMITH,5833.00,5398.00,4998.00,,4900.00,5215.00,5544.00,3998.00,4868.00,4090.00
ISABELLA SOLIS,5286.00,4290.00,4261.00,4252.00,,4085.00,5071.00,3543.00,3625.00,3002.00
JESUSITA DOLORES LUCERO,4462.00,3317.00,3796.00,3712.00,3466.00,,4390.00,3398.00,2768.00,3059.00
JORGE SANCHEZ,3401.00,2608.00,2055.00,2586.00,1934.00,2356.00,,2372.00,2003.00,1754.00
KEN MIYAGISHIMA,8262.00,8033.00,7706.00,7224.00,7738.00,7856.00,8234.00,,7737.00,6814.00
MIKE A TELLEZ,5500.00,5030.00,4515.00,4497.00,4365.00,4857.00,5160.00,3960.00,,3721.00
WILLIAM BILL MATTIACE,7519.00,6569.00,6920.00,6449.00,6732.00,6485.00,7472.00,5557.00,6029.00,
