condorcet winner: Jamal Osman,AJ Awed,AK Hassan,Abdirizak Bihi,Alex Palacios,Jamal Osman,Joshua Scheunemann,Michael P. Dougherty,Mohamoud Hassan,Nebiha Mohammed,Saciido Shaie,Sara Mae Engberg,Suud Olat,writeIns
AJ Awed,,2247.00,2327.00,2332.00,2286.00,2431.00,2458.00,2473.00,2408.00,2369.00,2435.00,2467.00,2480.00
AK Hassan,1656.00,,1805.00,1794.00,1698.00,1923.00,1897.00,1909.00,1832.00,1792.00,1921.00,1915.00,1943.00
Abdirizak Bihi,1345.00,1429.00,,1455.00,1392.00,1535.00,1511.00,1520.00,1497.00,1443.00,1523.00,1529.00,1539.00
Alex Palacios,943.00,1023.00,1090.00,,1054.00,1161.00,1043.00,1180.00,1119.00,1066.00,1151.00,1183.00,1198.00
Jamal Osman,2795.00,2744.00,2849.00,2875.00,,2975.00,2907.00,2942.00,2898.00,2871.00,2982.00,2965.00,3005.00
Joshua Scheunemann,341.00,385.00,424.00,367.00,393.00,,377.00,435.00,427.00,409.00,383.00,434.00,441.00
Michael P. Dougherty,651.00,633.00,665.00,616.00,612.00,654.00,,670.00,673.00,673.00,641.00,681.00,691.00
Mohamoud Hassan,368.00,332.00,367.00,380.00,307.00,397.00,368.00,,369.00,390.00,396.00,398.00,407.00
Nebiha Mohammed,696.00,737.00,807.00,773.00,717.00,862.00,839.00,814.00,,790.00,833.00,861.00,878.00
Saciido Shaie,809.00,863.00,894.00,860.00,894.00,1023.00,1008.00,1019.00,955.00,,1011.00,1017.00,1036.00
Sara Mae Engberg,399.00,450.00,488.00,434.00,452.00,427.00,397.00,471.00,446.00,466.00,,488.00,499.00
Suud Olat,283.00,275.00,325.00,315.00,270.00,337.00,313.00,320.00,287.00,317.00,330.00,,347.00
writeIns,31.00,44.00,46.00,44.00,45.00,43.00,46.00,48.00,46.00,48.00,46.00,48.00,
