condorcet winner: Ross Mirkarimi,Andrew Sullivan,Bill Barnes,Brett Wheeler,Dan Kalb,Emmett Gilman,Francis Somesel,H. Brown,Jim Siegel,Joseph Blue,Julian Davis,Lisa Feldstein,Michael E. O'connor,Nick Waugh,Patrick M. Ciocca,Phillip House,Phoenix Streets,Rob Anderson,Robert Haaland,Ross Mirkarimi,Susan C. King,Tys Sniffen,Vivian Wilder
Andrew Sullivan,,50.19,67.38,48.76,80.41,83.01,94.98,59.80,74.17,77.88,29.52,69.31,41.24,93.48,95.22,69.65,82.48,27.26,23.04,57.80,72.35,88.35
Bill Barnes,49.81,,67.38,45.63,80.85,81.59,95.31,59.09,73.86,78.19,28.98,69.16,39.75,93.23,95.13,70.80,82.49,22.92,21.69,58.64,69.40,88.66
Brett Wheeler,32.62,32.62,,30.93,67.32,68.07,90.45,41.32,58.07,64.30,16.91,52.55,24.07,87.20,90.80,53.30,70.28,15.40,11.91,40.21,52.83,79.46
Dan Kalb,51.24,54.37,69.07,,81.40,82.54,95.26,60.55,74.55,79.19,29.71,69.91,40.92,93.58,95.58,71.17,83.71,24.05,22.10,59.66,70.55,89.35
Emmett Gilman,19.59,19.15,32.68,18.60,,51.02,82.62,25.85,39.96,46.10,8.64,34.53,14.09,77.04,83.03,35.70,53.29,8.12,6.04,25.17,35.42,64.95
Francis Somesel,16.99,18.41,31.93,17.46,48.98,,81.69,22.29,39.09,44.90,8.85,33.72,13.39,76.41,82.23,34.67,52.15,8.28,6.66,24.04,34.28,63.65
H. Brown,5.02,4.69,9.55,4.74,17.38,18.31,,6.96,12.42,15.07,2.16,10.23,3.39,41.82,51.13,10.44,18.81,1.83,1.50,6.38,10.51,28.53
Jim Siegel,40.20,40.91,58.68,39.45,74.15,77.71,93.04,,66.82,71.17,22.51,61.15,31.46,90.82,93.30,61.54,76.86,20.81,17.07,48.61,64.23,84.04
Joseph Blue,25.83,26.14,41.93,25.45,60.04,60.91,87.58,33.18,,56.20,12.93,44.59,18.98,83.48,88.02,45.50,63.10,11.95,9.63,33.42,44.77,73.63
Julian Davis,22.12,21.81,35.70,20.81,53.90,55.10,84.93,28.83,43.80,,10.37,37.57,15.48,79.54,85.16,39.38,56.94,9.34,7.12,27.27,39.24,68.29
Lisa Feldstein,70.48,71.02,83.09,70.29,91.36,91.15,97.84,77.49,87.07,89.63,,83.79,61.92,97.01,97.96,85.09,91.73,40.36,31.72,79.15,84.46,95.26
Michael E. O'connor,30.69,30.84,47.45,30.09,65.47,66.28,89.77,38.85,55.41,62.43,16.21,,23.11,86.51,91.79,51.16,68.71,14.49,11.05,38.45,51.58,77.87
Nick Waugh,58.76,60.25,75.93,59.08,85.91,86.61,96.61,68.54,81.02,84.52,38.08,76.89,,95.45,96.68,78.30,88.25,34.83,29.22,68.23,77.70,92.36
Patrick M. Ciocca,6.52,6.77,12.80,6.42,22.96,23.59,58.18,9.18,16.52,20.46,2.99,13.49,4.55,,59.46,14.17,25.36,2.71,2.08,9.09,14.23,35.66
Phillip House,4.78,4.87,9.20,4.42,16.97,17.77,48.87,6.70,11.98,14.84,2.04,8.21,3.32,40.54,,9.97,18.58,1.79,1.19,6.29,10.08,27.52
Phoenix Streets,30.35,29.20,46.70,28.83,64.30,65.33,89.56,38.46,54.50,60.62,14.91,48.84,21.70,85.83,90.03,,67.82,13.46,10.27,37.07,49.58,77.46
Rob Anderson,17.52,17.51,29.72,16.29,46.71,47.85,81.19,23.14,36.90,43.06,8.27,31.29,11.75,74.64,81.42,32.18,,7.00,5.84,21.81,32.56,62.07
Robert Haaland,72.74,77.08,84.60,75.95,91.88,91.72,98.17,79.19,88.05,90.66,59.64,85.51,65.17,97.29,98.21,86.54,93.00,,36.39,79.78,85.62,95.35
Ross Mirkarimi,76.96,78.31,88.09,77.90,93.96,93.34,98.50,82.93,90.37,92.88,68.28,88.95,70.78,97.92,98.81,89.73,94.16,63.61,,84.65,89.02,96.17
Susan C. King,42.20,41.36,59.79,40.34,74.83,75.96,93.62,51.39,66.58,72.73,20.85,61.55,31.77,90.91,93.71,62.93,78.19,20.22,15.35,,62.04,86.45
Tys Sniffen,27.65,30.60,47.17,29.45,64.58,65.72,89.49,35.77,55.23,60.76,15.54,48.42,22.30,85.77,89.92,50.42,67.44,14.38,10.98,37.96,,77.00
Vivian Wilder,11.65,11.34,20.54,10.65,35.05,36.35,71.47,15.96,26.37,31.71,4.74,22.13,7.64,64.34,72.48,22.54,37.93,4.65,3.83,13.55,23.00,
