condorcet winner: Sean R. Elsbernd,Art Belenson,Christine Linnenbach,David Parker,Gregory Corrales,Isaac Wang,Michael Patrick Mallen,Milton `Rennie` O`Brien,Pat Lakey,Sean R. Elsbernd,Shawn Reifsteck,Sheela Kini,Svelana Kaff,Vernon C. Grigg III
Art Belenson,,10.34,53.29,22.64,25.55,35.41,20.01,38.39,8.13,30.40,54.82,55.13,24.19
Christine Linnenbach,89.66,,90.00,70.99,73.33,81.98,68.49,83.53,43.13,82.76,90.98,91.23,74.52
David Parker,46.71,10.00,,20.34,22.62,31.94,17.56,35.16,8.10,27.59,51.76,51.72,22.08
Gregory Corrales,77.36,29.01,79.66,,53.93,65.66,45.23,66.92,23.22,58.61,80.08,80.37,51.47
Isaac Wang,74.45,26.67,77.38,46.07,,61.29,42.35,63.51,22.51,55.33,79.27,77.68,47.39
Michael Patrick Mallen,64.59,18.02,68.06,34.34,38.71,,30.81,53.61,14.56,44.43,68.93,69.09,36.75
Milton `Rennie` O`Brien,79.99,31.51,82.44,54.77,57.65,69.19,,71.31,27.23,63.42,84.44,83.53,55.70
Pat Lakey,61.61,16.47,64.84,33.08,36.49,46.39,28.69,,11.55,40.52,66.43,66.98,33.74
Sean R. Elsbernd,91.87,56.87,91.90,76.78,77.49,85.44,72.77,88.45,,79.82,91.12,92.05,77.49
Shawn Reifsteck,69.60,17.24,72.41,41.39,44.67,55.57,36.58,59.48,20.18,,75.16,74.23,41.99
Sheela Kini,45.18,9.02,48.24,19.92,20.73,31.07,15.56,33.57,8.88,24.84,,51.13,21.60
Svelana Kaff,44.87,8.77,48.28,19.63,22.32,30.91,16.47,33.02,7.95,25.77,48.87,,20.46
Vernon C. Grigg III,75.81,25.48,77.92,48.53,52.61,63.25,44.30,66.26,22.51,58.01,78.40,79.54,
