condorcet winner: JOHN AVALOS,A. JACKSON MATTESON,ADRIAN BERMUDEZ,AHSHA SAFAI,ELI M. HORN,JOHN AVALOS,JULIO RAMOS,MARY GOODNATURE,MYRNA LIM,RANDY KNOX,writeIns
A. JACKSON MATTESON,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ADRIAN BERMUDEZ,2850.00,,2201.00,2761.00,1741.00,1567.00,2674.00,2418.00,2603.00,2850.00
AHSHA SAFAI,11677.00,11413.00,,11517.00,9092.00,9888.00,11413.00,9850.00,10579.00,11676.00
ELI M. HORN,1776.00,1695.00,1292.00,,1368.00,1408.00,1644.00,1458.00,1396.00,1775.00
JOHN AVALOS,12693.00,12407.00,10225.00,12534.00,,10681.00,12533.00,10911.00,11604.00,12689.00
JULIO RAMOS,11284.00,10899.00,8621.00,11123.00,7344.00,,10983.00,9179.00,9451.00,11283.00
MARY GOODNATURE,2453.00,2319.00,1834.00,2346.00,1949.00,1942.00,,1548.00,2145.00,2453.00
MYRNA LIM,9944.00,9788.00,7397.00,9788.00,7972.00,8278.00,9654.00,,8853.00,9943.00
RANDY KNOX,7806.00,7699.00,5779.00,7595.00,5148.00,6577.00,7602.00,6417.00,,7806.00
writeIns,88.00,83.00,70.00,83.00,63.00,72.00,85.00,81.00,75.00,
