condorcet winner: ERIC MAR,ALICIA WANG,BRIAN J. LARKIN,ERIC MAR,FIDEL CHRYS GAKUBA,GEORGE FLAMIK,JASON JUNGREIS,NICHOLAS C. BELLONI,SHERMAN R. D''SILVA,SUE LEE,writeIns
ALICIA WANG,,15791.00,10068.00,15968.00,16076.00,15917.00,15911.00,16097.00,8170.00,16199.00
BRIAN J. LARKIN,2579.00,,2912.00,3797.00,3706.00,3661.00,3638.00,3833.00,2608.00,3925.00
ERIC MAR,14206.00,16930.00,,17047.00,17126.00,17002.00,17069.00,17141.00,13152.00,17218.00
FIDEL CHRYS GAKUBA,1444.00,1985.00,1523.00,,2041.00,2030.00,1998.00,2094.00,1336.00,2172.00
GEORGE FLAMIK,1366.00,1503.00,1533.00,1845.00,,1786.00,1764.00,1839.00,1263.00,1933.00
JASON JUNGREIS,1790.00,2471.00,1853.00,2631.00,2621.00,,2590.00,2659.00,1771.00,2727.00
NICHOLAS C. BELLONI,2055.00,2692.00,2121.00,2890.00,2895.00,2898.00,,2896.00,1930.00,3064.00
SHERMAN R. D''SILVA,1016.00,1166.00,994.00,1306.00,1274.00,1268.00,1215.00,,958.00,1375.00
SUE LEE,13643.00,17899.00,12805.00,18054.00,18151.00,17936.00,18020.00,18187.00,,18278.00
writeIns,124.00,150.00,87.00,149.00,153.00,149.00,147.00,153.00,109.00,
