condorcet winner: DAVID CHIU,CLAUDINE CHENG,DAVID CHIU,DENISE MCCARTHY,"JOSEPH ALIOTO, JR.",LYNN JEFFERSON,MARK QUESSEY,MIKE DENUNZIO,TONY GANTNER,WILMA PANG,writeIns
CLAUDINE CHENG,,26.94,42.11,37.83,61.76,88.72,70.99,61.56,71.07,99.05
DAVID CHIU,73.06,,69.00,59.37,78.54,94.85,82.94,83.62,85.44,99.56
DENISE MCCARTHY,57.89,31.00,,46.08,72.73,92.62,77.17,76.15,69.96,99.38
"JOSEPH ALIOTO, JR.",62.17,40.63,53.92,,73.68,93.49,82.77,72.03,72.07,99.48
LYNN JEFFERSON,38.24,21.46,27.27,26.32,,84.41,60.86,50.46,51.86,98.61
MARK QUESSEY,11.28,5.15,7.38,6.51,15.59,,21.30,16.43,15.69,93.25
MIKE DENUNZIO,29.01,17.06,22.83,17.23,39.14,78.70,,40.71,41.32,97.93
TONY GANTNER,38.44,16.38,23.85,27.97,49.54,83.57,59.29,,50.91,98.48
WILMA PANG,28.93,14.56,30.04,27.93,48.14,84.31,58.68,49.09,,98.43
writeIns,0.95,0.44,0.62,0.52,1.39,6.75,2.07,1.52,1.57,
