condorcet winner: ED LEE,BEVAN DUFTY,CESAR ASCARRUNZ,DAVID CHIU,DENNIS HERRERA,ED LEE,EMIL LAWRENCE,JEFF ADACHI,JOANNA REES,JOHN AVALOS,LELAND YEE,MICHELA ALIOTO-PIER,PAUL CURRIER,PHIL TING,TERRY JOAN BAUM,TONY HALL,WILMA PANG,writeIns
BEVAN DUFTY,,89.83,31.71,27.31,21.84,94.35,42.46,71.65,30.83,38.54,55.65,95.41,71.73,78.46,67.71,86.84,99.81
CESAR ASCARRUNZ,10.17,,5.52,3.96,3.27,66.23,7.54,21.66,4.27,6.53,11.64,70.30,22.47,29.16,18.53,43.49,98.37
DAVID CHIU,68.29,94.48,,46.64,31.53,97.01,61.38,83.92,48.83,55.84,71.85,97.60,88.31,87.54,80.84,94.19,99.90
DENNIS HERRERA,72.69,96.04,53.36,,41.91,97.53,64.20,86.11,46.88,62.93,75.36,98.04,85.43,89.64,83.14,93.65,99.92
ED LEE,78.16,96.73,68.47,58.09,,98.29,72.22,89.58,59.64,69.36,82.63,98.56,94.35,91.22,87.74,97.73,99.94
EMIL LAWRENCE,5.65,33.77,2.99,2.47,1.71,,3.96,12.05,2.81,3.63,6.18,54.88,13.06,17.39,9.95,28.12,96.95
JEFF ADACHI,57.54,92.46,38.62,35.80,27.78,96.04,,77.96,35.81,45.53,63.10,96.66,78.12,82.61,75.05,90.42,99.86
JOANNA REES,28.35,78.34,16.08,13.89,10.42,87.95,22.04,,16.18,19.99,32.04,89.73,50.69,59.76,44.76,73.52,99.53
JOHN AVALOS,69.17,95.73,51.17,53.12,40.36,97.19,64.19,83.82,,61.42,72.07,97.92,83.52,94.38,80.72,93.10,99.91
LELAND YEE,61.46,93.47,44.16,37.07,30.64,96.37,54.47,80.01,38.58,,67.29,97.08,81.26,85.13,77.30,91.85,99.89
MICHELA ALIOTO-PIER,44.35,88.36,28.15,24.64,17.37,93.82,36.90,67.96,27.93,32.71,,94.55,67.32,74.83,63.30,84.76,99.76
PAUL CURRIER,4.59,29.70,2.40,1.96,1.44,45.12,3.34,10.27,2.08,2.92,5.45,,11.09,14.63,8.96,24.11,96.29
PHIL TING,28.27,77.53,11.69,14.57,5.65,86.94,21.88,49.31,16.48,18.74,32.68,88.91,,58.92,45.20,73.48,99.51
TERRY JOAN BAUM,21.54,70.84,12.46,10.36,8.78,82.61,17.39,40.24,5.62,14.87,25.17,85.37,41.08,,36.81,65.11,99.32
TONY HALL,32.29,81.47,19.16,16.86,12.26,90.05,24.95,55.24,19.28,22.70,36.70,91.04,54.80,63.19,,76.02,99.60
WILMA PANG,13.16,56.51,5.81,6.35,2.27,71.88,9.58,26.48,6.90,8.15,15.24,75.89,26.52,34.89,23.98,,98.73
writeIns,0.19,1.63,0.10,0.08,0.06,3.05,0.14,0.47,0.09,0.11,0.24,3.71,0.49,0.68,0.40,1.27,
