condorcet winner: SANDRA LEE FEWER,ANDY THORNLEY,BRIAN J. LARKIN,DAVID LEE,JASON JUNGREIS,JONATHAN LYENS,MARJAN PHILHOUR,RICHIE GREENBERG,SAMUEL KWONG,SANDRA LEE FEWER,SHERMAN R. D'SILVA
ANDY THORNLEY,,1600.00,1542.00,1673.00,1536.00,1232.00,1645.00,1719.00,994.00,1677.00
BRIAN J. LARKIN,3061.00,,2609.00,3007.00,2963.00,2016.00,2749.00,2997.00,2354.00,2964.00
DAVID LEE,13507.00,13367.00,,13457.00,13233.00,7214.00,13272.00,13005.00,7174.00,13349.00
JASON JUNGREIS,2208.00,2089.00,1945.00,,2147.00,1632.00,1972.00,2109.00,1624.00,2161.00
JONATHAN LYENS,4046.00,3931.00,3488.00,4071.00,,2768.00,3975.00,4113.00,2085.00,4101.00
MARJAN PHILHOUR,19576.00,19428.00,17182.00,19520.00,19267.00,,19309.00,19350.00,13459.00,19435.00
RICHIE GREENBERG,3742.00,3572.00,3297.00,3508.00,3602.00,2349.00,,3561.00,2738.00,3621.00
SAMUEL KWONG,3692.00,3537.00,2269.00,3523.00,3612.00,2387.00,3445.00,,2581.00,3653.00
SANDRA LEE FEWER,20715.00,20660.00,18099.00,20801.00,20518.00,15037.00,20625.00,20578.00,,20713.00
SHERMAN R. D'SILVA,2506.00,2365.00,2094.00,2423.00,2392.00,1722.00,2322.00,2449.00,1703.00,
