Ballots with first choice:,Number of Ballots,"Adkins, Lawrence J. ranked in top 3","Cheung, Leland ranked in top 3","Davis, Henrietta ranked in top 3","Decker, Marjorie C. ranked in top 3","Flanagan, Mark F. ranked in top 3","Glick, Silvia P. ranked in top 3","Kelley, Craig A. ranked in top 3","Leavitt, Neal W. ranked in top 3","Maher, David P. ranked in top 3","Marquardt, Charles J. ranked in top 3","Moree, Gregg J. ranked in top 3","Podgers, Kathy ranked in top 3","Reeves, Kenneth E. ranked in top 3","Seidel, Sam ranked in top 3","Simmons, E. Denise ranked in top 3","Stohlman, Jr., Thomas J. ranked in top 3","Sullivan, Edward J. ranked in top 3","Toomey, Jr., Timothy J. ranked in top 3","Ward, Larry W. ranked in top 3","Williamson, James M. ranked in top 3","vanBeuzekom, Minka Y. ranked in top 3",writeIns ranked in top 3
"Adkins, Lawrence J.",103,103,12,10,2,11,11,13,5,2,6,1,0,36,3,18,2,3,6,21,6,11,0
"Cheung, Leland",755,15,755,186,30,36,58,124,35,79,39,11,26,54,125,129,71,44,60,52,18,104,3
"Davis, Henrietta",1857,19,195,1857,197,20,95,304,36,280,36,6,35,250,471,610,121,44,160,229,7,190,4
"Decker, Marjorie C.",1285,7,68,432,1285,10,26,117,15,150,27,5,18,243,216,420,34,109,138,146,12,108,1
"Flanagan, Mark F.",111,4,20,18,2,111,19,8,12,9,9,2,4,12,9,15,5,8,10,4,3,10,0
"Glick, Silvia P.",256,8,49,58,22,4,256,37,13,12,25,4,18,24,39,39,16,6,14,19,3,58,0
"Kelley, Craig A.",1249,18,152,352,73,14,105,1249,44,172,102,13,16,107,349,217,81,54,116,113,8,173,3
"Leavitt, Neal W.",136,1,24,27,8,5,11,13,136,17,8,2,3,14,23,16,10,6,10,8,3,14,2
"Maher, David P.",1285,8,57,236,93,20,22,150,26,1285,40,23,10,116,158,147,55,370,489,100,9,31,2
"Marquardt, Charles J.",385,9,60,33,17,11,27,70,16,40,385,13,13,17,43,27,14,56,49,23,5,31,1
"Moree, Gregg J.",47,1,2,2,1,2,3,5,2,3,2,47,14,8,3,9,7,4,7,3,3,4,0
"Podgers, Kathy",78,5,10,8,2,3,16,8,2,6,7,8,78,7,8,8,5,4,1,6,3,9,1
"Reeves, Kenneth E.",1165,41,54,196,73,15,21,50,10,80,22,10,11,1165,139,569,31,122,174,176,16,48,4
"Seidel, Sam",899,12,119,339,61,9,38,155,37,124,27,4,8,76,899,223,80,32,68,121,4,103,0
"Simmons, E. Denise",1781,45,115,495,153,23,61,121,18,159,36,10,27,667,227,1781,46,114,257,345,22,113,7
"Stohlman, Jr., Thomas J.",377,4,43,103,15,4,18,65,12,54,15,5,5,19,111,51,377,20,21,43,4,50,0
"Sullivan, Edward J.",883,19,41,61,44,39,22,87,11,299,57,22,12,72,38,76,24,883,378,46,20,35,3
"Toomey, Jr., Timothy J.",1746,12,100,188,70,44,26,153,26,426,90,19,15,250,98,244,42,555,1746,147,15,49,1
"Ward, Larry W.",735,29,55,186,59,9,13,86,13,88,15,8,7,172,114,258,43,35,61,735,18,52,3
"Williamson, James M.",89,15,11,11,2,8,13,8,5,4,2,2,10,9,8,21,5,4,5,9,89,11,0
"vanBeuzekom, Minka Y.",682,14,127,213,43,16,55,108,21,35,48,3,18,47,123,131,58,29,40,74,19,682,3
writeIns,33,1,4,1,1,2,2,5,0,1,3,1,1,4,0,2,2,1,2,0,1,1,33
