Ballots with first choice:,Number of Ballots,"Bellew, Carole K. ranked in top 3","Davis, Henrietta ranked in top 3","DeBergalis, Matt S. ranked in top 3","Decker, Marjorie C. ranked in top 3","Dixon, Vincent Lawrence ranked in top 3","Galluccio, Anthony D. ranked in top 3","Greenwood, Dan J. ranked in top 3","Hall, Robert L., Sr. ranked in top 3","Kelley, Craig A. ranked in top 3","King, Ethridge A., Jr. ranked in top 3","LaTremouille, Robert J. ranked in top 3","Maher, David P. ranked in top 3","Murphy, Brian ranked in top 3","Pitkin, John ranked in top 3","Reeves, Kenneth E. ranked in top 3","Simmons, Denise ranked in top 3","Smith, Aimee Louise ranked in top 3","Sullivan, Michael A. ranked in top 3","Taymorberry, Laurie ranked in top 3","Toomey, Timothy J., Jr. ranked in top 3",writeIns ranked in top 3
"Bellew, Carole K.",729.0,100.0,32.37,9.88,15.36,2.74,16.6,0.41,1.78,10.01,4.94,1.65,8.23,18.38,13.99,6.17,11.11,5.76,7.54,3.57,7.13,0.55
"Davis, Henrietta",1831.0,15.13,100.0,6.06,33.7,0.66,14.96,0.22,0.66,5.63,5.52,0.93,8.57,26.93,11.36,11.63,23.81,2.4,7.37,3.93,3.44,0.05
"DeBergalis, Matt S.",1203.0,8.48,15.79,100.0,16.71,2.83,8.73,2.83,1.75,7.9,8.65,2.49,4.9,22.94,3.99,8.98,6.98,12.55,5.82,4.24,5.49,0.91
"Decker, Marjorie C.",1367.0,7.39,30.43,2.93,100.0,0.8,19.46,0.51,0.8,6.88,3.58,1.02,8.41,18.07,8.63,22.6,25.16,3.88,10.17,3.58,6.44,0.0
"Dixon, Vincent Lawrence",64.0,3.12,7.81,12.5,6.25,100.0,15.62,23.44,12.5,6.25,7.81,9.38,10.94,12.5,7.81,6.25,14.06,12.5,12.5,3.12,4.69,0.0
"Galluccio, Anthony D.",2977.0,3.46,8.06,1.95,9.64,0.64,100.0,0.77,1.28,4.64,2.92,0.81,36.65,7.39,3.39,12.53,7.89,1.14,44.47,1.24,26.57,0.24
"Greenwood, Dan J.",39.0,5.13,7.69,15.38,2.56,0.0,5.13,100.0,28.21,25.64,10.26,10.26,10.26,7.69,10.26,7.69,2.56,17.95,5.13,2.56,2.56,0.0
"Hall, Robert L., Sr.",93.0,7.53,9.68,4.3,7.53,4.3,12.9,3.23,100.0,13.98,20.43,7.53,10.75,3.23,9.68,10.75,16.13,2.15,6.45,4.3,4.3,1.08
"Kelley, Craig A.",983.0,12.11,22.18,3.76,15.67,1.12,19.63,1.42,3.46,100.0,3.97,2.64,11.09,15.46,22.99,7.83,9.97,5.39,8.95,3.87,4.78,0.31
"King, Ethridge A., Jr.",353.0,8.5,13.6,12.18,10.48,3.12,19.55,3.12,3.12,7.08,100.0,3.12,13.6,9.92,8.5,10.76,13.03,3.4,13.6,4.53,6.52,0.57
"LaTremouille, Robert J.",122.0,7.38,13.93,5.74,11.48,4.1,8.2,0.82,1.64,15.57,13.11,100.0,3.28,9.84,9.84,12.3,11.48,13.11,10.66,9.02,4.92,0.82
"Maher, David P.",1177.0,3.23,8.07,1.78,9.26,0.93,47.49,0.42,0.93,3.99,2.63,0.25,100.0,15.63,5.27,6.88,4.84,0.59,47.66,0.93,19.37,0.25
"Murphy, Brian",1356.0,12.68,44.32,5.97,21.98,0.66,13.27,0.66,0.59,6.86,3.24,0.74,12.76,100.0,11.5,9.14,17.92,2.95,8.85,5.53,3.32,0.07
"Pitkin, John",1005.0,17.41,32.34,3.88,22.69,1.0,10.75,1.29,1.29,16.72,4.68,2.49,8.16,21.39,100.0,6.67,12.14,5.77,6.87,4.78,3.88,0.1
"Reeves, Kenneth E.",1509.0,3.25,15.77,2.52,19.35,0.99,22.33,0.53,1.99,1.52,7.75,1.72,6.23,6.1,2.92,100.0,45.99,5.17,17.76,2.12,8.02,0.2
"Simmons, Denise",1165.0,7.38,26.18,2.23,30.82,1.55,11.67,0.34,1.55,3.69,5.67,0.6,3.09,13.3,6.35,31.33,100.0,11.24,9.53,8.76,6.44,0.34
"Smith, Aimee Louise",477.0,11.32,15.72,13.84,15.72,3.56,5.24,2.31,2.31,6.5,5.24,3.98,1.89,9.85,8.6,8.6,26.42,100.0,5.45,20.55,4.19,0.42
"Sullivan, Michael A.",1634.0,2.45,8.2,1.41,11.69,1.53,46.82,0.31,0.55,3.3,1.84,1.47,32.56,6.98,2.02,9.18,6.43,1.1,100.0,1.96,36.11,0.12
"Taymorberry, Laurie",176.0,15.91,25.57,10.23,17.05,1.7,5.68,0.57,0.57,5.68,6.82,1.7,5.68,14.77,9.09,8.52,15.91,11.36,6.82,100.0,6.82,0.0
"Toomey, Timothy J., Jr.",1599.0,6.07,6.44,1.38,7.57,1.19,43.59,0.31,1.06,1.63,1.19,0.56,19.95,3.63,2.06,7.57,5.13,1.69,47.78,2.13,100.0,0.25
writeIns,37.0,2.7,10.81,5.41,8.11,5.41,18.92,2.7,2.7,5.41,10.81,0.0,0.0,5.41,2.7,10.81,5.41,2.7,5.41,0.0,0.0,100.0
