Ballots with first choice:,Number of Ballots,"Allen, Ruth Ryan ranked in top 3","Bowman, Mannika L. ranked in top 3","Dawson, Bernette J. ranked in top 3","Dexter, Emily R. ranked in top 3","Fantini, Alfred B. ranked in top 3","Kadete, Elechi M. ranked in top 3","Lim, Christopher ranked in top 3","Rojas Villareal, Jose Luis ranked in top 3","Weinstain, Rachel ranked in top 3","Weinstein, David J. ranked in top 3","Wilson, Ayesha ranked in top 3",writeIns ranked in top 3
"Allen, Ruth Ryan",892.0,100.0,17.38,13.57,24.66,36.77,5.04,8.97,5.38,16.14,8.74,16.26,0.45
"Bowman, Mannika L.",3107.0,5.44,100.0,14.0,50.24,34.6,8.5,6.5,8.46,15.26,8.85,23.5,0.03
"Dawson, Bernette J.",976.0,8.2,28.18,100.0,27.87,9.84,9.12,12.5,12.19,19.98,12.81,33.61,0.2
"Dexter, Emily R.",2999.0,6.0,32.04,9.0,100.0,24.84,12.6,12.17,19.74,23.04,16.21,18.11,0.07
"Fantini, Alfred B.",2662.0,15.25,30.13,6.05,29.41,100.0,5.75,8.98,6.72,11.5,8.79,10.56,0.08
"Kadete, Elechi M.",814.0,4.3,23.34,5.16,20.15,10.2,100.0,9.46,22.48,11.79,14.5,37.96,0.0
"Lim, Christopher",934.0,6.53,17.13,14.56,29.76,15.52,8.57,100.0,20.13,18.74,13.7,17.56,0.0
"Rojas Villareal, Jose Luis",1131.0,5.04,19.19,8.58,35.46,12.29,15.03,17.51,100.0,18.13,13.26,23.25,0.27
"Weinstain, Rachel",2176.0,10.52,25.64,12.59,31.07,12.45,7.17,9.33,10.85,100.0,16.41,26.93,0.05
"Weinstein, David J.",971.0,8.34,22.76,11.64,30.38,12.15,7.93,12.77,12.26,29.45,100.0,21.01,0.21
"Wilson, Ayesha",2690.0,9.33,32.34,17.73,20.71,11.41,15.46,9.89,15.65,21.23,9.37,100.0,0.15
writeIns,51.0,3.92,9.8,1.96,5.88,5.88,5.88,5.88,5.88,7.84,1.96,5.88,100.0
