Ballots with first choice:,Number of Ballots,ALEXANDER PAIGE FRESQUEZ ranked in top 3,BEV COURTNEY ranked in top 3,EUGENIA (GINA) MONTOYA ORTEGA ranked in top 3,GREGORY Z SMITH ranked in top 3,ISABELLA SOLIS ranked in top 3,JESUSITA DOLORES LUCERO ranked in top 3,JORGE SANCHEZ ranked in top 3,KEN MIYAGISHIMA ranked in top 3,MIKE A TELLEZ ranked in top 3,WILLIAM BILL MATTIACE ranked in top 3
ALEXANDER PAIGE FRESQUEZ,106.0,100.0,5.66,18.87,38.68,11.32,18.87,17.92,40.57,14.15,16.04
BEV COURTNEY,492.0,3.25,100.0,10.37,9.96,15.04,34.55,4.67,8.74,58.74,26.63
EUGENIA (GINA) MONTOYA ORTEGA,1147.0,5.14,11.77,100.0,12.9,25.98,19.27,11.07,25.2,16.04,26.59
GREGORY Z SMITH,1433.0,8.65,5.16,14.65,100.0,12.21,10.89,6.21,50.87,9.7,35.1
ISABELLA SOLIS,664.0,2.86,20.03,23.04,11.6,100.0,18.07,10.24,21.08,30.87,29.67
JESUSITA DOLORES LUCERO,426.0,6.1,16.43,23.24,15.96,26.06,100.0,7.28,24.18,21.83,26.06
JORGE SANCHEZ,210.0,13.81,7.62,15.24,27.14,27.14,7.62,100.0,23.81,23.33,13.81
KEN MIYAGISHIMA,5172.0,5.86,4.08,15.53,31.79,15.41,9.01,5.97,100.0,10.38,28.65
MIKE A TELLEZ,1610.0,3.54,58.82,8.07,7.64,15.28,43.98,4.16,8.26,100.0,26.02
WILLIAM BILL MATTIACE,2725.0,2.39,13.65,16.7,21.8,16.26,13.17,4.44,28.66,23.12,100.0
