Ballots with first choice:,Number of Ballots,"ABDUL M RAHAMAN ""THE ROCK"" ranked in top 3",ALICIA K. BENNETT ranked in top 3,BETSY HODGES ranked in top 3,BILL KAHN ranked in top 3,"BOB ""AGAIN"" CARNEY JR ranked in top 3",BOB FINE ranked in top 3,CAM WINTON ranked in top 3,CAPTAIN JACK SPARROW ranked in top 3,CHRISTOPHER CLARK ranked in top 3,CHRISTOPHER ROBIN ZIMMERMAN ranked in top 3,CYD GORMAN ranked in top 3,DAN COHEN ranked in top 3,DON SAMUELS ranked in top 3,DOUG MANN ranked in top 3,EDMUND BERNARD BRUYERE ranked in top 3,GREGG A. IVERSON ranked in top 3,JACKIE CHERRYHOMES ranked in top 3,"JAMES ""JIMMY"" L. STROUD, JR. ranked in top 3",JAMES EVERETT ranked in top 3,JAYMIE KELLY ranked in top 3,JEFFREY ALAN WAGNER ranked in top 3,JOHN CHARLES WILSON ranked in top 3,JOHN LESLIE HARTWIG ranked in top 3,JOSHUA REA ranked in top 3,KURTIS W. HANNA ranked in top 3,MARK ANDREW ranked in top 3,MARK V ANDERSON ranked in top 3,MERRILL ANDERSON ranked in top 3,MIKE GOULD ranked in top 3,NEAL BAXTER ranked in top 3,OLE SAVIOR ranked in top 3,RAHN V. WORKCUFF ranked in top 3,STEPHANIE WOODRUFF ranked in top 3,TONY LANE ranked in top 3,TROY BENJEGERDES ranked in top 3,writeIns ranked in top 3
"ABDUL M RAHAMAN ""THE ROCK""",355,355,11,34,28,4,9,4,8,0,1,1,6,7,4,2,5,8,5,4,5,7,2,6,7,11,38,10,11,13,4,3,5,13,6,3,1
ALICIA K. BENNETT,351,7,351,95,4,3,27,8,15,4,0,2,9,37,11,0,12,43,2,13,15,12,1,2,5,5,61,15,7,52,2,3,1,77,7,4,4
BETSY HODGES,28956,158,465,28956,47,60,3135,3014,624,53,69,36,880,14068,986,47,160,6412,30,548,315,129,40,21,98,159,13810,629,68,225,174,64,33,2238,233,218,202
BILL KAHN,102,5,7,7,102,2,7,4,6,3,4,6,9,6,2,1,1,7,2,3,3,4,0,1,3,1,8,9,1,6,5,8,0,9,2,1,0
"BOB ""AGAIN"" CARNEY JR",56,2,1,9,3,56,9,1,8,0,1,2,1,13,3,0,0,1,3,5,0,1,1,1,1,1,10,2,2,1,0,0,0,3,1,0,0
BOB FINE,2096,8,45,763,16,9,2096,438,59,15,24,7,199,485,56,5,45,259,7,28,10,19,4,16,10,21,630,69,13,50,11,43,4,170,11,8,14
CAM WINTON,7528,22,33,1715,38,34,1041,7528,282,467,360,23,1359,1535,69,8,17,554,13,40,16,24,10,165,19,113,1078,389,51,31,237,758,79,352,12,26,91
CAPTAIN JACK SPARROW,265,14,2,77,7,13,23,13,265,11,8,6,31,29,26,2,1,13,2,10,13,7,6,3,3,35,36,5,1,5,5,13,1,12,9,11,4
CHRISTOPHER CLARK,191,4,3,9,3,1,7,58,10,191,79,1,13,6,11,1,1,3,1,5,4,2,1,5,2,30,11,13,0,1,9,28,2,1,0,4,3
CHRISTOPHER ROBIN ZIMMERMAN,172,4,2,12,3,0,4,32,7,71,172,3,11,6,6,3,0,8,1,6,0,3,5,8,3,13,9,23,4,3,6,34,3,2,2,1,2
CYD GORMAN,39,0,1,7,1,3,3,3,1,1,1,39,3,3,4,1,2,1,0,1,1,0,2,0,5,2,3,3,3,0,1,1,0,2,1,1,0
DAN COHEN,1806,13,22,417,20,16,229,498,103,49,46,15,1806,362,70,7,19,180,8,32,14,10,3,35,24,12,271,103,28,17,45,114,17,83,19,17,13
DON SAMUELS,8344,76,138,4746,20,23,859,981,190,32,23,28,421,8344,133,10,71,2027,28,109,43,40,11,12,50,34,3144,199,39,54,53,82,26,463,37,31,39
DOUG MANN,779,6,17,428,3,9,49,22,38,10,2,7,47,90,779,1,2,36,3,91,144,5,15,6,11,42,149,9,7,9,18,4,11,50,60,28,4
EDMUND BERNARD BRUYERE,72,0,1,21,1,0,2,9,0,1,2,2,3,12,8,72,1,6,1,2,1,0,0,0,0,2,16,3,4,1,2,4,0,4,2,8,0
GREGG A. IVERSON,146,6,12,11,1,3,17,2,5,3,3,3,10,17,4,0,146,28,5,0,6,14,1,1,2,1,24,3,2,6,4,3,1,9,1,3,1
JACKIE CHERRYHOMES,3542,31,154,1401,13,11,330,255,67,13,23,19,175,1208,50,4,61,3542,35,55,27,71,1,6,28,6,1225,107,30,51,15,20,9,231,12,11,26
"JAMES ""JIMMY"" L. STROUD, JR.",65,4,4,7,6,2,3,2,2,1,1,0,6,6,0,0,0,4,65,3,4,2,2,0,5,2,10,2,5,2,0,1,0,2,3,2,0
JAMES EVERETT,348,6,10,131,4,6,13,12,10,2,6,2,15,50,89,2,5,39,7,348,13,1,2,2,10,16,54,10,7,2,4,3,4,16,32,14,1
JAYMIE KELLY,196,1,8,101,2,0,9,5,8,0,3,5,14,16,42,0,1,7,2,15,196,0,2,1,17,5,18,7,6,5,4,1,1,10,16,14,4
JEFFREY ALAN WAGNER,166,5,24,25,1,1,9,4,9,0,0,1,9,15,5,0,7,14,3,4,2,166,2,1,4,1,45,2,1,16,3,1,0,15,6,0,2
JOHN CHARLES WILSON,37,1,1,3,1,0,2,2,3,2,1,0,2,2,7,1,1,1,2,1,0,1,37,2,1,1,4,1,0,1,0,5,1,2,4,1,1
JOHN LESLIE HARTWIG,97,0,3,11,3,2,2,11,2,6,4,0,8,5,3,2,4,7,3,9,0,2,3,97,2,2,2,7,4,1,20,12,5,4,3,2,0
JOSHUA REA,109,9,9,12,4,2,1,3,11,0,1,5,7,7,8,1,2,11,5,3,12,2,1,0,109,1,14,6,17,3,2,2,0,1,2,1,0
KURTIS W. HANNA,200,3,1,72,1,7,11,24,22,17,16,2,18,27,21,1,0,2,2,19,5,2,0,6,0,200,30,5,4,5,7,5,1,5,10,4,3
MARK ANDREW,19641,130,341,9470,57,43,2066,1581,364,48,34,28,719,6408,353,19,180,4235,48,221,84,221,31,25,60,73,19641,113,52,282,94,79,22,846,114,82,89
MARK V ANDERSON,982,17,15,330,9,4,99,116,41,24,39,4,76,175,10,5,16,160,7,12,3,3,4,18,10,12,76,982,10,7,10,34,6,22,4,3,6
MERRILL ANDERSON,109,1,6,11,1,0,2,6,6,3,2,3,11,10,4,2,1,7,9,1,6,5,3,2,15,2,12,9,109,2,3,5,2,5,5,3,1
MIKE GOULD,204,6,24,21,4,0,17,3,7,3,1,0,10,22,5,1,6,22,3,5,4,25,3,3,2,6,37,2,0,204,1,1,2,28,6,3,1
NEAL BAXTER,145,0,3,49,3,1,10,14,7,8,3,1,6,22,9,0,1,10,0,3,6,3,3,13,3,1,23,6,2,7,145,5,7,7,3,0,0
