Ballots with first choice:,Number of Ballots,"ABDUL M RAHAMAN ""THE ROCK"" ranked in top 3",ALICIA K. BENNETT ranked in top 3,BETSY HODGES ranked in top 3,BILL KAHN ranked in top 3,"BOB ""AGAIN"" CARNEY JR ranked in top 3",BOB FINE ranked in top 3,CAM WINTON ranked in top 3,CAPTAIN JACK SPARROW ranked in top 3,CHRISTOPHER CLARK ranked in top 3,CHRISTOPHER ROBIN ZIMMERMAN ranked in top 3,CYD GORMAN ranked in top 3,DAN COHEN ranked in top 3,DON SAMUELS ranked in top 3,DOUG MANN ranked in top 3,EDMUND BERNARD BRUYERE ranked in top 3,GREGG A. IVERSON ranked in top 3,JACKIE CHERRYHOMES ranked in top 3,"JAMES ""JIMMY"" L. STROUD, JR. ranked in top 3",JAMES EVERETT ranked in top 3,JAYMIE KELLY ranked in top 3,JEFFREY ALAN WAGNER ranked in top 3,JOHN CHARLES WILSON ranked in top 3,JOHN LESLIE HARTWIG ranked in top 3,JOSHUA REA ranked in top 3,KURTIS W. HANNA ranked in top 3,MARK ANDREW ranked in top 3,MARK V ANDERSON ranked in top 3,MERRILL ANDERSON ranked in top 3,MIKE GOULD ranked in top 3,NEAL BAXTER ranked in top 3,OLE SAVIOR ranked in top 3,RAHN V. WORKCUFF ranked in top 3,STEPHANIE WOODRUFF ranked in top 3,TONY LANE ranked in top 3,TROY BENJEGERDES ranked in top 3,writeIns ranked in top 3
"ABDUL M RAHAMAN ""THE ROCK""",355.0,100.0,3.1,9.58,7.89,1.13,2.54,1.13,2.25,0.0,0.28,0.28,1.69,1.97,1.13,0.56,1.41,2.25,1.41,1.13,1.41,1.97,0.56,1.69,1.97,3.1,10.7,2.82,3.1,3.66,1.13,0.85,1.41,3.66,1.69,0.85,0.28
ALICIA K. BENNETT,351.0,1.99,100.0,27.07,1.14,0.85,7.69,2.28,4.27,1.14,0.0,0.57,2.56,10.54,3.13,0.0,3.42,12.25,0.57,3.7,4.27,3.42,0.28,0.57,1.42,1.42,17.38,4.27,1.99,14.81,0.57,0.85,0.28,21.94,1.99,1.14,1.14
BETSY HODGES,28956.0,0.55,1.61,100.0,0.16,0.21,10.83,10.41,2.15,0.18,0.24,0.12,3.04,48.58,3.41,0.16,0.55,22.14,0.1,1.89,1.09,0.45,0.14,0.07,0.34,0.55,47.69,2.17,0.23,0.78,0.6,0.22,0.11,7.73,0.8,0.75,0.7
BILL KAHN,102.0,4.9,6.86,6.86,100.0,1.96,6.86,3.92,5.88,2.94,3.92,5.88,8.82,5.88,1.96,0.98,0.98,6.86,1.96,2.94,2.94,3.92,0.0,0.98,2.94,0.98,7.84,8.82,0.98,5.88,4.9,7.84,0.0,8.82,1.96,0.98,0.0
"BOB ""AGAIN"" CARNEY JR",56.0,3.57,1.79,16.07,5.36,100.0,16.07,1.79,14.29,0.0,1.79,3.57,1.79,23.21,5.36,0.0,0.0,1.79,5.36,8.93,0.0,1.79,1.79,1.79,1.79,1.79,17.86,3.57,3.57,1.79,0.0,0.0,0.0,5.36,1.79,0.0,0.0
BOB FINE,2096.0,0.38,2.15,36.4,0.76,0.43,100.0,20.9,2.81,0.72,1.15,0.33,9.49,23.14,2.67,0.24,2.15,12.36,0.33,1.34,0.48,0.91,0.19,0.76,0.48,1.0,30.06,3.29,0.62,2.39,0.52,2.05,0.19,8.11,0.52,0.38,0.67
CAM WINTON,7528.0,0.29,0.44,22.78,0.5,0.45,13.83,100.0,3.75,6.2,4.78,0.31,18.05,20.39,0.92,0.11,0.23,7.36,0.17,0.53,0.21,0.32,0.13,2.19,0.25,1.5,14.32,5.17,0.68,0.41,3.15,10.07,1.05,4.68,0.16,0.35,1.21
CAPTAIN JACK SPARROW,265.0,5.28,0.75,29.06,2.64,4.91,8.68,4.91,100.0,4.15,3.02,2.26,11.7,10.94,9.81,0.75,0.38,4.91,0.75,3.77,4.91,2.64,2.26,1.13,1.13,13.21,13.58,1.89,0.38,1.89,1.89,4.91,0.38,4.53,3.4,4.15,1.51
CHRISTOPHER CLARK,191.0,2.09,1.57,4.71,1.57,0.52,3.66,30.37,5.24,100.0,41.36,0.52,6.81,3.14,5.76,0.52,0.52,1.57,0.52,2.62,2.09,1.05,0.52,2.62,1.05,15.71,5.76,6.81,0.0,0.52,4.71,14.66,1.05,0.52,0.0,2.09,1.57
CHRISTOPHER ROBIN ZIMMERMAN,172.0,2.33,1.16,6.98,1.74,0.0,2.33,18.6,4.07,41.28,100.0,1.74,6.4,3.49,3.49,1.74,0.0,4.65,0.58,3.49,0.0,1.74,2.91,4.65,1.74,7.56,5.23,13.37,2.33,1.74,3.49,19.77,1.74,1.16,1.16,0.58,1.16
CYD GORMAN,39.0,0.0,2.56,17.95,2.56,7.69,7.69,7.69,2.56,2.56,2.56,100.0,7.69,7.69,10.26,2.56,5.13,2.56,0.0,2.56,2.56,0.0,5.13,0.0,12.82,5.13,7.69,7.69,7.69,0.0,2.56,2.56,0.0,5.13,2.56,2.56,0.0
DAN COHEN,1806.0,0.72,1.22,23.09,1.11,0.89,12.68,27.57,5.7,2.71,2.55,0.83,100.0,20.04,3.88,0.39,1.05,9.97,0.44,1.77,0.78,0.55,0.17,1.94,1.33,0.66,15.01,5.7,1.55,0.94,2.49,6.31,0.94,4.6,1.05,0.94,0.72
DON SAMUELS,8344.0,0.91,1.65,56.88,0.24,0.28,10.29,11.76,2.28,0.38,0.28,0.34,5.05,100.0,1.59,0.12,0.85,24.29,0.34,1.31,0.52,0.48,0.13,0.14,0.6,0.41,37.68,2.38,0.47,0.65,0.64,0.98,0.31,5.55,0.44,0.37,0.47
DOUG MANN,779.0,0.77,2.18,54.94,0.39,1.16,6.29,2.82,4.88,1.28,0.26,0.9,6.03,11.55,100.0,0.13,0.26,4.62,0.39,11.68,18.49,0.64,1.93,0.77,1.41,5.39,19.13,1.16,0.9,1.16,2.31,0.51,1.41,6.42,7.7,3.59,0.51
EDMUND BERNARD BRUYERE,72.0,0.0,1.39,29.17,1.39,0.0,2.78,12.5,0.0,1.39,2.78,2.78,4.17,16.67,11.11,100.0,1.39,8.33,1.39,2.78,1.39,0.0,0.0,0.0,0.0,2.78,22.22,4.17,5.56,1.39,2.78,5.56,0.0,5.56,2.78,11.11,0.0
GREGG A. IVERSON,146.0,4.11,8.22,7.53,0.68,2.05,11.64,1.37,3.42,2.05,2.05,2.05,6.85,11.64,2.74,0.0,100.0,19.18,3.42,0.0,4.11,9.59,0.68,0.68,1.37,0.68,16.44,2.05,1.37,4.11,2.74,2.05,0.68,6.16,0.68,2.05,0.68
JACKIE CHERRYHOMES,3542.0,0.88,4.35,39.55,0.37,0.31,9.32,7.2,1.89,0.37,0.65,0.54,4.94,34.11,1.41,0.11,1.72,100.0,0.99,1.55,0.76,2.0,0.03,0.17,0.79,0.17,34.58,3.02,0.85,1.44,0.42,0.56,0.25,6.52,0.34,0.31,0.73
"JAMES ""JIMMY"" L. STROUD, JR.",65.0,6.15,6.15,10.77,9.23,3.08,4.62,3.08,3.08,1.54,1.54,0.0,9.23,9.23,0.0,0.0,0.0,6.15,100.0,4.62,6.15,3.08,3.08,0.0,7.69,3.08,15.38,3.08,7.69,3.08,0.0,1.54,0.0,3.08,4.62,3.08,0.0
JAMES EVERETT,348.0,1.72,2.87,37.64,1.15,1.72,3.74,3.45,2.87,0.57,1.72,0.57,4.31,14.37,25.57,0.57,1.44,11.21,2.01,100.0,3.74,0.29,0.57,0.57,2.87,4.6,15.52,2.87,2.01,0.57,1.15,0.86,1.15,4.6,9.2,4.02,0.29
JAYMIE KELLY,196.0,0.51,4.08,51.53,1.02,0.0,4.59,2.55,4.08,0.0,1.53,2.55,7.14,8.16,21.43,0.0,0.51,3.57,1.02,7.65,100.0,0.0,1.02,0.51,8.67,2.55,9.18,3.57,3.06,2.55,2.04,0.51,0.51,5.1,8.16,7.14,2.04
JEFFREY ALAN WAGNER,166.0,3.01,14.46,15.06,0.6,0.6,5.42,2.41,5.42,0.0,0.0,0.6,5.42,9.04,3.01,0.0,4.22,8.43,1.81,2.41,1.2,100.0,1.2,0.6,2.41,0.6,27.11,1.2,0.6,9.64,1.81,0.6,0.0,9.04,3.61,0.0,1.2
JOHN CHARLES WILSON,37.0,2.7,2.7,8.11,2.7,0.0,5.41,5.41,8.11,5.41,2.7,0.0,5.41,5.41,18.92,2.7,2.7,2.7,5.41,2.7,0.0,2.7,100.0,5.41,2.7,2.7,10.81,2.7,0.0,2.7,0.0,13.51,2.7,5.41,10.81,2.7,2.7
JOHN LESLIE HARTWIG,97.0,0.0,3.09,11.34,3.09,2.06,2.06,11.34,2.06,6.19,4.12,0.0,8.25,5.15,3.09,2.06,4.12,7.22,3.09,9.28,0.0,2.06,3.09,100.0,2.06,2.06,2.06,7.22,4.12,1.03,20.62,12.37,5.15,4.12,3.09,2.06,0.0
JOSHUA REA,109.0,8.26,8.26,11.01,3.67,1.83,0.92,2.75,10.09,0.0,0.92,4.59,6.42,6.42,7.34,0.92,1.83,10.09,4.59,2.75,11.01,1.83,0.92,0.0,100.0,0.92,12.84,5.5,15.6,2.75,1.83,1.83,0.0,0.92,1.83,0.92,0.0
KURTIS W. HANNA,200.0,1.5,0.5,36.0,0.5,3.5,5.5,12.0,11.0,8.5,8.0,1.0,9.0,13.5,10.5,0.5,0.0,1.0,1.0,9.5,2.5,1.0,0.0,3.0,0.0,100.0,15.0,2.5,2.0,2.5,3.5,2.5,0.5,2.5,5.0,2.0,1.5
MARK ANDREW,19641.0,0.66,1.74,48.22,0.29,0.22,10.52,8.05,1.85,0.24,0.17,0.14,3.66,32.63,1.8,0.1,0.92,21.56,0.24,1.13,0.43,1.13,0.16,0.13,0.31,0.37,100.0,0.58,0.26,1.44,0.48,0.4,0.11,4.31,0.58,0.42,0.45
MARK V ANDERSON,982.0,1.73,1.53,33.6,0.92,0.41,10.08,11.81,4.18,2.44,3.97,0.41,7.74,17.82,1.02,0.51,1.63,16.29,0.71,1.22,0.31,0.31,0.41,1.83,1.02,1.22,7.74,100.0,1.02,0.71,1.02,3.46,0.61,2.24,0.41,0.31,0.61
