Ballots with first choice:,Number of Ballots,BRYAN PARKER ranked in top 3,CHARLES R. WILLIAMS ranked in top 3,COURTNEY RUBY ranked in top 3,DAN SIEGEL ranked in top 3,ERIC WILSON ranked in top 3,JASON ANDERSON ranked in top 3,JEAN QUAN ranked in top 3,JOE TUMAN ranked in top 3,KEN HOUSTON ranked in top 3,LIBBY SCHAAF ranked in top 3,NANCY SIDEBOTHAM ranked in top 3,PAT MCCULLOUGH ranked in top 3,PETER LIU ranked in top 3,REBECCA KAPLAN ranked in top 3,SAIED KARAMOOZ ranked in top 3,SAMMUEL WASHINGTON ranked in top 3
BRYAN PARKER,7955,7955,411,691,1520,196,186,1327,2361,214,2812,61,182,102,2115,72,6
CHARLES R. WILLIAMS,1052,117,1052,90,230,104,110,151,111,54,73,29,73,47,248,27,0
COURTNEY RUBY,3115,537,85,3115,445,51,51,433,1283,35,1501,124,66,66,608,54,1
DAN SIEGEL,13122,1523,321,885,13122,431,982,3541,2165,198,4797,138,237,169,5463,632,17
ERIC WILSON,393,32,62,25,92,393,38,77,38,35,31,19,17,30,100,8,0
JASON ANDERSON,1550,79,47,49,1027,45,1550,151,66,27,164,9,47,16,288,840,0
JEAN QUAN,15808,1965,515,1283,3494,357,277,15808,2228,243,5039,201,273,784,5266,150,7
JOE TUMAN,12251,3269,222,2709,1974,138,141,1404,12251,200,6798,179,206,242,2686,151,6
KEN HOUSTON,518,101,33,27,99,43,29,70,66,518,61,23,20,17,152,11,0
LIBBY SCHAAF,30041,6043,259,5104,6814,227,295,7000,12654,255,30041,259,247,340,10835,257,14
NANCY SIDEBOTHAM,267,39,19,47,32,28,7,36,30,22,49,267,15,17,60,10,0
PAT MCCULLOUGH,362,56,43,40,57,20,35,51,47,26,58,24,362,36,63,21,1
PETER LIU,464,52,40,54,69,37,10,94,76,30,65,34,41,464,57,37,1
REBECCA KAPLAN,14693,1882,500,1492,4250,423,480,3608,2481,276,6063,267,262,286,14693,184,7
SAIED KARAMOOZ,264,17,12,25,96,12,42,41,27,6,43,12,15,25,62,264,0
SAMMUEL WASHINGTON,33,4,1,1,4,1,2,4,1,0,4,0,1,1,7,1,33
