Ballots with first choice:,Number of Ballots,BRYAN PARKER ranked in top 3,CHARLES R. WILLIAMS ranked in top 3,COURTNEY RUBY ranked in top 3,DAN SIEGEL ranked in top 3,ERIC WILSON ranked in top 3,JASON ANDERSON ranked in top 3,JEAN QUAN ranked in top 3,JOE TUMAN ranked in top 3,KEN HOUSTON ranked in top 3,LIBBY SCHAAF ranked in top 3,NANCY SIDEBOTHAM ranked in top 3,PAT MCCULLOUGH ranked in top 3,PETER LIU ranked in top 3,REBECCA KAPLAN ranked in top 3,SAIED KARAMOOZ ranked in top 3,SAMMUEL WASHINGTON ranked in top 3
BRYAN PARKER,7955.0,100.0,5.17,8.69,19.11,2.46,2.34,16.68,29.68,2.69,35.35,0.77,2.29,1.28,26.59,0.91,0.08
CHARLES R. WILLIAMS,1052.0,11.12,100.0,8.56,21.86,9.89,10.46,14.35,10.55,5.13,6.94,2.76,6.94,4.47,23.57,2.57,0.0
COURTNEY RUBY,3115.0,17.24,2.73,100.0,14.29,1.64,1.64,13.9,41.19,1.12,48.19,3.98,2.12,2.12,19.52,1.73,0.03
DAN SIEGEL,13122.0,11.61,2.45,6.74,100.0,3.28,7.48,26.99,16.5,1.51,36.56,1.05,1.81,1.29,41.63,4.82,0.13
ERIC WILSON,393.0,8.14,15.78,6.36,23.41,100.0,9.67,19.59,9.67,8.91,7.89,4.83,4.33,7.63,25.45,2.04,0.0
JASON ANDERSON,1550.0,5.1,3.03,3.16,66.26,2.9,100.0,9.74,4.26,1.74,10.58,0.58,3.03,1.03,18.58,54.19,0.0
JEAN QUAN,15808.0,12.43,3.26,8.12,22.1,2.26,1.75,100.0,14.09,1.54,31.88,1.27,1.73,4.96,33.31,0.95,0.04
JOE TUMAN,12251.0,26.68,1.81,22.11,16.11,1.13,1.15,11.46,100.0,1.63,55.49,1.46,1.68,1.98,21.92,1.23,0.05
KEN HOUSTON,518.0,19.5,6.37,5.21,19.11,8.3,5.6,13.51,12.74,100.0,11.78,4.44,3.86,3.28,29.34,2.12,0.0
LIBBY SCHAAF,30041.0,20.12,0.86,16.99,22.68,0.76,0.98,23.3,42.12,0.85,100.0,0.86,0.82,1.13,36.07,0.86,0.05
NANCY SIDEBOTHAM,267.0,14.61,7.12,17.6,11.99,10.49,2.62,13.48,11.24,8.24,18.35,100.0,5.62,6.37,22.47,3.75,0.0
PAT MCCULLOUGH,362.0,15.47,11.88,11.05,15.75,5.52,9.67,14.09,12.98,7.18,16.02,6.63,100.0,9.94,17.4,5.8,0.28
PETER LIU,464.0,11.21,8.62,11.64,14.87,7.97,2.16,20.26,16.38,6.47,14.01,7.33,8.84,100.0,12.28,7.97,0.22
REBECCA KAPLAN,14693.0,12.81,3.4,10.15,28.93,2.88,3.27,24.56,16.89,1.88,41.26,1.82,1.78,1.95,100.0,1.25,0.05
SAIED KARAMOOZ,264.0,6.44,4.55,9.47,36.36,4.55,15.91,15.53,10.23,2.27,16.29,4.55,5.68,9.47,23.48,100.0,0.0
SAMMUEL WASHINGTON,33.0,12.12,3.03,3.03,12.12,3.03,6.06,12.12,3.03,0.0,12.12,0.0,3.03,3.03,21.21,3.03,100.0
