Ballots with first choice:,Number of Ballots,DEAN CLARK ranked in top 3,DEBRA WALKER ranked in top 3,ELAINE ZAMORA ranked in top 3,FORTUNATE ''NATE'' PAYNE ranked in top 3,GEORGE DAVIS ranked in top 3,GEORGE VAZHAPPALLY ranked in top 3,GLENDON ''ANNA CONDA'' HYDE ranked in top 3,H. BROWN ranked in top 3,JAMES KEYS ranked in top 3,JANE KIM ranked in top 3,JIM MEKO ranked in top 3,MATT ASHE ranked in top 3,MATT DRAKE ranked in top 3,THERESA SPARKS ranked in top 3,writeIns ranked in top 3
DEAN CLARK,602,602,153,42,35,24,47,36,82,109,150,38,16,62,93,1
DEBRA WALKER,5669,310,5669,407,87,136,51,1376,136,613,2671,349,117,128,1303,16
ELAINE ZAMORA,637,54,137,637,15,35,28,51,35,69,181,44,13,81,151,1
FORTUNATE ''NATE'' PAYNE,150,20,35,10,150,8,32,26,6,14,21,24,4,16,16,1
GEORGE DAVIS,158,21,37,16,8,158,15,16,22,25,20,8,6,10,25,0
GEORGE VAZHAPPALLY,242,40,20,24,78,13,242,13,9,8,29,58,7,53,21,0
GLENDON ''ANNA CONDA'' HYDE,692,37,317,45,40,35,11,692,38,73,269,37,27,27,148,3
H. BROWN,182,38,28,24,5,13,15,21,182,18,43,15,9,16,24,2
JAMES KEYS,960,72,370,67,28,28,17,114,33,960,355,72,16,34,193,1
JANE KIM,6621,485,2233,835,102,130,136,870,291,619,6621,362,107,465,1673,18
JIM MEKO,407,24,126,22,20,20,30,33,12,61,118,407,20,46,81,1
MATT ASHE,185,19,39,17,7,20,12,26,10,15,45,19,185,38,33,1
MATT DRAKE,947,132,112,124,92,35,84,37,25,33,268,158,41,947,196,1
THERESA SPARKS,3605,212,940,310,72,70,69,334,99,273,1188,311,83,493,3605,7
writeIns,29,0,1,0,0,1,0,1,0,0,2,1,1,1,1,29
