Ballots with first choice:,Number of Ballots,A. JACKSON MATTESON ranked in top 3,ADRIAN BERMUDEZ ranked in top 3,AHSHA SAFAI ranked in top 3,ELI M. HORN ranked in top 3,JOHN AVALOS ranked in top 3,JULIO RAMOS ranked in top 3,MARY GOODNATURE ranked in top 3,MYRNA LIM ranked in top 3,RANDY KNOX ranked in top 3,writeIns ranked in top 3
A. JACKSON MATTESON,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
ADRIAN BERMUDEZ,415.0,0.0,100.0,32.77,8.19,26.99,46.51,13.98,15.9,9.16,0.48
AHSHA SAFAI,5965.0,0.0,7.66,100.0,5.82,32.74,31.28,7.53,32.69,25.83,0.23
ELI M. HORN,394.0,0.0,11.42,22.84,100.0,23.35,21.07,10.91,21.83,27.16,0.51
JOHN AVALOS,6964.0,0.0,10.05,29.93,4.12,100.0,45.82,4.98,21.28,30.72,0.29
JULIO RAMOS,3646.0,0.0,21.26,29.29,5.65,39.63,100.0,7.95,29.24,17.88,0.3
MARY GOODNATURE,459.0,0.0,15.03,29.85,13.51,18.74,27.45,100.0,38.13,19.39,0.0
MYRNA LIM,4462.0,0.0,6.25,32.21,4.75,28.91,33.26,14.3,100.0,20.35,0.11
RANDY KNOX,2337.0,0.0,4.96,32.86,10.01,32.31,30.25,7.53,28.2,100.0,0.17
writeIns,30.0,0.0,0.0,3.33,3.33,3.33,0.0,0.0,6.67,0.0,100.0
