Ballots with first choice:,Number of Ballots,Ahimsa Porter Sumchai ranked in top 3,Gavin Newsom ranked in top 3,George Davis ranked in top 3,Grasshopper Alec Kaplan ranked in top 3,H. Brown ranked in top 3,Harold M. Hoogasian ranked in top 3,John Rinaldi ranked in top 3,Josh Wolf ranked in top 3,Lonnie S. Holmes ranked in top 3,Michael Powers ranked in top 3,Quintin Mecke ranked in top 3,Wilma Pang ranked in top 3,writeIns ranked in top 3
Ahimsa Porter Sumchai,3445,3445,944,80,250,146,272,506,602,542,70,1184,552,0
Gavin Newsom,106395,6890,106395,2549,4005,3022,10141,3757,4459,5278,2398,6458,15497,1
George Davis,666,65,175,666,101,93,64,89,87,40,89,60,82,0
Grasshopper Alec Kaplan,1465,161,366,147,1465,82,264,357,223,70,232,125,158,1
H. Brown,929,111,235,77,43,929,182,51,134,115,52,102,209,0
Harold M. Hoogasian,8515,642,2185,285,535,482,8515,417,508,609,361,635,1076,1
John Rinaldi,2556,558,779,98,509,54,267,2556,469,84,212,804,166,0
Josh Wolf,1815,373,465,133,268,154,155,280,1815,171,87,431,233,1
Lonnie S. Holmes,1830,341,521,75,96,114,250,72,188,1830,63,353,321,0
Michael Powers,533,46,146,54,114,22,100,91,61,42,533,40,62,0
Quintin Mecke,9173,4815,2103,166,501,212,499,3556,1293,628,177,9173,653,2
Wilma Pang,7381,1063,2875,417,265,654,727,180,531,715,166,386,7381,1
writeIns,27,5,8,0,3,0,4,0,5,1,1,3,2,27
