,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Rank 12,Rank 13,Rank 14,Rank 15,Rank 16,Rank 17,Rank 18,Did Not Rank,Final Rank + Did Not Rank
"Adkins, Lawrence J.",243.00,499.00,757.00,999.00,1159.00,1324.00,1485.00,1623.00,1739.00,1836.00,1928.00,1996.00,2063.00,2135.00,2188.00,2247.00,2292.00,2318.00,13884.00,16202.00
"Condit, James E., III",42.00,132.00,243.00,365.00,457.00,561.00,679.00,784.00,878.00,955.00,1040.00,1127.00,1193.00,1247.00,1317.00,1376.00,1446.00,1495.00,14707.00,16202.00
"Davis, Henrietta",1459.00,2900.00,4328.00,5438.00,6225.00,6831.00,7191.00,7429.00,7582.00,7646.00,7685.00,7716.00,7744.00,7770.00,7794.00,7826.00,7850.00,7870.00,8332.00,16202.00
"Decker, Marjorie C.",1524.00,3154.00,4601.00,5748.00,6597.00,7090.00,7412.00,7637.00,7796.00,7859.00,7893.00,7928.00,7960.00,7986.00,8015.00,8041.00,8074.00,8102.00,8100.00,16202.00
"Galluccio, Anthony D.",2001.00,3599.00,4952.00,5868.00,6499.00,6939.00,7300.00,7554.00,7729.00,7829.00,7881.00,7917.00,7940.00,7957.00,7978.00,7998.00,8031.00,8066.00,8136.00,16202.00
"Gordon, Jesse A.",626.00,1125.00,1627.00,2062.00,2468.00,2775.00,3031.00,3210.00,3321.00,3431.00,3528.00,3608.00,3679.00,3729.00,3772.00,3824.00,3855.00,3883.00,12319.00,16202.00
"Green, Andre Lerone",181.00,362.00,554.00,729.00,941.00,1098.00,1228.00,1334.00,1435.00,1523.00,1606.00,1688.00,1775.00,1851.00,1911.00,1962.00,2010.00,2032.00,14170.00,16202.00
"Hall, Robert Lee, Sr.",75.00,183.00,327.00,466.00,601.00,759.00,900.00,996.00,1106.00,1206.00,1290.00,1374.00,1446.00,1540.00,1608.00,1672.00,1715.00,1742.00,14460.00,16202.00
"Hees, Bill",198.00,363.00,516.00,649.00,780.00,916.00,1062.00,1176.00,1285.00,1351.00,1437.00,1511.00,1606.00,1673.00,1762.00,1826.00,1857.00,1888.00,14314.00,16202.00
"Kelley, Craig A.",1042.00,1791.00,2310.00,2746.00,3110.00,3445.00,3694.00,3904.00,4055.00,4136.00,4215.00,4293.00,4347.00,4419.00,4471.00,4525.00,4569.00,4594.00,11608.00,16202.00
"LaTremouille, Robert J.",118.00,236.00,389.00,545.00,698.00,864.00,989.00,1112.00,1228.00,1307.00,1383.00,1460.00,1532.00,1586.00,1657.00,1710.00,1781.00,1840.00,14362.00,16202.00
"Maher, David P.",902.00,1832.00,2821.00,3679.00,4345.00,4858.00,5281.00,5596.00,5835.00,5950.00,6011.00,6073.00,6122.00,6163.00,6193.00,6228.00,6255.00,6276.00,9926.00,16202.00
"Murphy, Brian",1236.00,2239.00,3223.00,4095.00,4862.00,5395.00,5834.00,6151.00,6338.00,6421.00,6479.00,6523.00,6563.00,6594.00,6637.00,6666.00,6694.00,6709.00,9493.00,16202.00
"Reeves, Kenneth E.",1207.00,2289.00,3261.00,4095.00,4807.00,5328.00,5686.00,5946.00,6143.00,6233.00,6283.00,6326.00,6354.00,6390.00,6425.00,6463.00,6482.00,6522.00,9680.00,16202.00
"Seidel, Sam",973.00,1858.00,2520.00,3077.00,3461.00,3785.00,4029.00,4223.00,4329.00,4429.00,4493.00,4555.00,4612.00,4657.00,4698.00,4745.00,4793.00,4856.00,11346.00,16202.00
"Simmons, Denise",1330.00,2788.00,4125.00,5119.00,5898.00,6429.00,6858.00,7148.00,7325.00,7399.00,7435.00,7461.00,7495.00,7533.00,7557.00,7586.00,7618.00,7638.00,8564.00,16202.00
"Sullivan, Michael A.",1464.00,3225.00,4674.00,5532.00,6203.00,6706.00,7017.00,7294.00,7522.00,7593.00,7632.00,7669.00,7700.00,7732.00,7759.00,7786.00,7815.00,7835.00,8367.00,16202.00
"Toomey, Timothy J., Jr.",1432.00,2329.00,3163.00,3926.00,4403.00,4798.00,5095.00,5337.00,5534.00,5629.00,5710.00,5747.00,5779.00,5814.00,5852.00,5884.00,5912.00,5950.00,10252.00,16202.00
writeIns,17.00,32.00,50.00,58.00,69.00,84.00,90.00,97.00,102.00,108.00,109.00,109.00,110.00,112.00,112.00,114.00,116.00,118.00,16084.00,16202.00
