,Rank 1,Rank 2,Rank 3,Did Not Rank,Final Rank + Did Not Rank
ALICIA WANG,4218.00,12551.00,16204.00,15490.00,31694.00
BRIAN J. LARKIN,998.00,2165.00,3928.00,27766.00,31694.00
ERIC MAR,11649.00,14688.00,17222.00,14472.00,31694.00
FIDEL CHRYS GAKUBA,363.00,1049.00,2173.00,29521.00,31694.00
GEORGE FLAMIK,325.00,969.00,1934.00,29760.00,31694.00
JASON JUNGREIS,614.00,1410.00,2727.00,28967.00,31694.00
NICHOLAS C. BELLONI,537.00,1435.00,3067.00,28627.00,31694.00
SHERMAN R. D''SILVA,257.00,690.00,1375.00,30319.00,31694.00
SUE LEE,9753.00,15246.00,18282.00,13412.00,31694.00
writeIns,42.00,101.00,154.00,31540.00,31694.00
