,Rank 1,Rank 2,Rank 3,Did Not Rank,Final Rank + Did Not Rank
BEVAN DUFTY,9208.00,20653.00,32111.00,165131.00,197242.00
CESAR ASCARRUNZ,537.00,1739.00,3856.00,193386.00,197242.00
DAVID CHIU,17921.00,44993.00,62162.00,135080.00,197242.00
DENNIS HERRERA,21914.00,53109.00,70247.00,126995.00,197242.00
ED LEE,59775.00,76509.00,89469.00,107773.00,197242.00
EMIL LAWRENCE,382.00,1048.00,2009.00,195233.00,197242.00
JEFF ADACHI,12534.00,26643.00,42591.00,154651.00,197242.00
JOANNA REES,3104.00,7816.00,13414.00,183828.00,197242.00
JOHN AVALOS,37445.00,53002.00,62530.00,134712.00,197242.00
LELAND YEE,14609.00,29968.00,50300.00,146942.00,197242.00
MICHELA ALIOTO-PIER,6648.00,16777.00,26388.00,170854.00,197242.00
PAUL CURRIER,248.00,758.00,1663.00,195579.00,197242.00
PHIL TING,1016.00,5129.00,13104.00,184138.00,197242.00
TERRY JOAN BAUM,1665.00,6131.00,9163.00,188079.00,197242.00
TONY HALL,6930.00,11408.00,15515.00,181727.00,197242.00
WILMA PANG,444.00,2261.00,4995.00,192247.00,197242.00
writeIns,38.00,48.00,64.00,197178.00,197242.00
