,Rank 1,Rank 2,Rank 3,Did Not Rank,Final Rank + Did Not Rank
"ABDUL M RAHAMAN ""THE ROCK""",355.00,646.00,920.00,79181.00,80101.00
ALICIA K. BENNETT,354.00,974.00,1806.00,78295.00,80101.00
BETSY HODGES,28962.00,43159.00,49623.00,30478.00,80101.00
BILL KAHN,102.00,262.00,440.00,79661.00,80101.00
"BOB ""AGAIN"" CARNEY JR",56.00,154.00,323.00,79778.00,80101.00
BOB FINE,2101.00,5808.00,10261.00,69840.00,80101.00
CAM WINTON,7533.00,11133.00,14940.00,65161.00,80101.00
CAPTAIN JACK SPARROW,265.00,857.00,2267.00,77834.00,80101.00
CHRISTOPHER CLARK,192.00,640.00,1155.00,78946.00,80101.00
CHRISTOPHER ROBIN ZIMMERMAN,172.00,607.00,1017.00,79084.00,80101.00
CYD GORMAN,39.00,134.00,269.00,79832.00,80101.00
DAN COHEN,1808.00,4052.00,6039.00,74062.00,80101.00
DON SAMUELS,8350.00,22406.00,33362.00,46739.00,80101.00
DOUG MANN,779.00,1834.00,2924.00,77177.00,80101.00
EDMUND BERNARD BRUYERE,72.00,127.00,206.00,79895.00,80101.00
GREGG A. IVERSON,146.00,357.00,784.00,79317.00,80101.00
JACKIE CHERRYHOMES,3548.00,9945.00,17857.00,62244.00,80101.00
"JAMES ""JIMMY"" L. STROUD, JR.",65.00,159.00,310.00,79791.00,80101.00
JAMES EVERETT,349.00,893.00,1678.00,78423.00,80101.00
JAYMIE KELLY,197.00,615.00,1010.00,79091.00,80101.00
JEFFREY ALAN WAGNER,167.00,457.00,812.00,79289.00,80101.00
JOHN CHARLES WILSON,37.00,103.00,214.00,79887.00,80101.00
JOHN LESLIE HARTWIG,97.00,281.00,523.00,79578.00,80101.00
JOSHUA REA,110.00,295.00,548.00,79553.00,80101.00
KURTIS W. HANNA,200.00,450.00,859.00,79242.00,80101.00
MARK ANDREW,19648.00,32181.00,40846.00,39255.00,80101.00
MARK V ANDERSON,984.00,1997.00,2843.00,77258.00,80101.00
MERRILL ANDERSON,109.00,295.00,505.00,79596.00,80101.00
MIKE GOULD,204.00,564.00,1096.00,79005.00,80101.00
NEAL BAXTER,147.00,483.00,969.00,79132.00,80101.00
OLE SAVIOR,700.00,1456.00,2055.00,78046.00,80101.00
RAHN V. WORKCUFF,66.00,181.00,338.00,79763.00,80101.00
STEPHANIE WOODRUFF,1014.00,3135.00,5729.00,74372.00,80101.00
TONY LANE,220.00,479.00,869.00,79232.00,80101.00
TROY BENJEGERDES,149.00,373.00,690.00,79411.00,80101.00
writeIns,118.00,294.00,643.00,79458.00,80101.00
