,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Did Not Rank,Final Rank + Did Not Rank
"Cronin, Fran Albin",10.34,18.27,24.71,28.93,32.08,34.33,35.56,36.57,37.46,62.54,100.00
"Fantini, Alfred B.",16.13,24.52,31.42,36.76,39.74,41.87,42.95,43.97,44.90,55.10,100.00
"Gerber, Joyce C.",6.35,13.85,20.36,24.74,28.34,30.77,32.34,33.31,34.11,65.89,100.00
"Harding, Jr., Richard",13.31,23.75,32.15,38.50,42.20,44.28,45.19,45.92,46.47,53.53,100.00
"Holland, John J.",3.32,7.21,10.81,13.48,15.97,18.01,19.92,21.55,22.72,77.28,100.00
"Kadete, Elechi M.",2.79,6.39,10.14,13.46,16.03,18.34,20.08,21.86,23.02,76.98,100.00
"Kelly, Kathleen M.",11.86,21.09,28.57,33.33,37.06,39.35,40.55,41.37,41.98,58.02,100.00
"Nolan, Patricia M.",22.13,37.03,46.73,51.82,54.07,55.55,56.17,56.64,57.10,42.90,100.00
"Osborne, Mervan F.",6.99,16.43,25.24,31.61,34.92,36.90,38.05,38.92,39.63,60.37,100.00
writeIns,0.41,0.58,0.68,0.77,0.84,0.90,0.94,0.97,1.01,98.99,100.00
