,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Did Not Rank
"Bowman, Manikka L.",1488.00,2724.00,3698.00,4468.00,4965.00,5387.00,5623.00,5799.00,5925.00,6026.00,6088.00,11771.00
"Cisternino, Pia",657.00,1554.00,2356.00,2891.00,3344.00,3707.00,3949.00,4131.00,4295.00,4425.00,4510.00,13349.00
"Cronin, Fran Albin",1418.00,2656.00,3965.00,4911.00,5715.00,6107.00,6330.00,6451.00,6574.00,6661.00,6723.00,11136.00
"Crutchfield, Jake W.",1221.00,1944.00,2587.00,3077.00,3467.00,3792.00,4037.00,4233.00,4391.00,4536.00,4643.00,13216.00
"Dexter, Emily R.",1402.00,2597.00,3486.00,4107.00,4552.00,4938.00,5183.00,5357.00,5502.00,5624.00,5711.00,12148.00
"Fantini, Alfred B.",2721.00,3973.00,4905.00,5657.00,6213.00,6517.00,6704.00,6858.00,6973.00,7079.00,7169.00,10690.00
"Harding, Jr., Richard",1989.00,3617.00,5000.00,5888.00,6578.00,6951.00,7121.00,7250.00,7360.00,7464.00,7518.00,10341.00
"Kadete, Elechi M.",427.00,952.00,1523.00,1940.00,2303.00,2633.00,2861.00,3045.00,3195.00,3342.00,3488.00,14371.00
"Kelly, Kathleen M.",1710.00,3589.00,5243.00,6445.00,7142.00,7515.00,7678.00,7789.00,7872.00,7941.00,7987.00,9872.00
"Nolan, Patricia M.",3006.00,5515.00,7115.00,8156.00,8794.00,9082.00,9221.00,9294.00,9359.00,9412.00,9462.00,8397.00
"Weinstein, David J.",696.00,1379.00,2046.00,2547.00,3043.00,3498.00,3777.00,3975.00,4129.00,4249.00,4347.00,13512.00
writeIns,62.00,77.00,92.00,100.00,109.00,116.00,123.00,124.00,125.00,129.00,131.00,17728.00
