,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Did Not Rank
"Bowman, Manikka L.",8.33,15.25,20.71,25.02,27.80,30.16,31.49,32.47,33.18,33.74,34.09,65.91
"Cisternino, Pia",3.68,8.70,13.19,16.19,18.72,20.76,22.11,23.13,24.05,24.78,25.25,74.75
"Cronin, Fran Albin",7.94,14.87,22.20,27.50,32.00,34.20,35.44,36.12,36.81,37.30,37.64,62.36
"Crutchfield, Jake W.",6.84,10.89,14.49,17.23,19.41,21.23,22.60,23.70,24.59,25.40,26.00,74.00
"Dexter, Emily R.",7.85,14.54,19.52,23.00,25.49,27.65,29.02,30.00,30.81,31.49,31.98,68.02
"Fantini, Alfred B.",15.24,22.25,27.47,31.68,34.79,36.49,37.54,38.40,39.04,39.64,40.14,59.86
"Harding, Jr., Richard",11.14,20.25,28.00,32.97,36.83,38.92,39.87,40.60,41.21,41.79,42.10,57.90
"Kadete, Elechi M.",2.39,5.33,8.53,10.86,12.90,14.74,16.02,17.05,17.89,18.71,19.53,80.47
"Kelly, Kathleen M.",9.58,20.10,29.36,36.09,39.99,42.08,42.99,43.61,44.08,44.46,44.72,55.28
"Nolan, Patricia M.",16.83,30.88,39.84,45.67,49.24,50.85,51.63,52.04,52.40,52.70,52.98,47.02
"Weinstein, David J.",3.90,7.72,11.46,14.26,17.04,19.59,21.15,22.26,23.12,23.79,24.34,75.66
writeIns,0.35,0.43,0.52,0.56,0.61,0.65,0.69,0.69,0.70,0.72,0.73,99.27
