,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Rank 12,Rank 13,Rank 14,Rank 15,Rank 16,Rank 17,Rank 18,Rank 19,Rank 20,Did Not Rank
"Bellew, Carole K.",735.00,1495.00,2233.00,2874.00,3510.00,3992.00,4335.00,4591.00,4744.00,4877.00,4963.00,5037.00,5110.00,5164.00,5224.00,5262.00,5312.00,5352.00,5382.00,5405.00,15553.00
"Davis, Henrietta",1846.00,3658.00,5175.00,6321.00,7162.00,7800.00,8248.00,8538.00,8714.00,8784.00,8839.00,8879.00,8916.00,8948.00,8988.00,9010.00,9040.00,9063.00,9091.00,9110.00,11848.00
"DeBergalis, Matt S.",1206.00,1604.00,1937.00,2268.00,2634.00,2955.00,3241.00,3455.00,3632.00,3749.00,3842.00,3930.00,3998.00,4070.00,4131.00,4187.00,4225.00,4268.00,4317.00,4349.00,16609.00
"Decker, Marjorie C.",1378.00,2966.00,4533.00,5742.00,6624.00,7261.00,7693.00,8015.00,8225.00,8305.00,8348.00,8397.00,8443.00,8488.00,8523.00,8551.00,8581.00,8609.00,8638.00,8653.00,12305.00
"Dixon, Vincent Lawrence",64.00,164.00,329.00,494.00,676.00,846.00,991.00,1147.00,1268.00,1355.00,1438.00,1515.00,1596.00,1690.00,1761.00,1831.00,1901.00,1956.00,2005.00,2041.00,18917.00
"Galluccio, Anthony D.",2994.00,5177.00,6895.00,8046.00,8750.00,9192.00,9513.00,9738.00,9934.00,10042.00,10096.00,10148.00,10190.00,10217.00,10260.00,10286.00,10314.00,10346.00,10375.00,10401.00,10557.00
"Greenwood, Dan J.",39.00,120.00,218.00,317.00,418.00,529.00,640.00,775.00,891.00,999.00,1085.00,1179.00,1261.00,1337.00,1414.00,1505.00,1576.00,1647.00,1685.00,1708.00,19250.00
"Hall, Robert L., Sr.",96.00,217.00,381.00,557.00,745.00,928.00,1101.00,1264.00,1406.00,1535.00,1651.00,1743.00,1828.00,1911.00,1974.00,2054.00,2121.00,2164.00,2212.00,2240.00,18718.00
"Kelley, Craig A.",992.00,1587.00,2074.00,2510.00,2870.00,3189.00,3458.00,3643.00,3818.00,3946.00,4046.00,4139.00,4219.00,4285.00,4353.00,4407.00,4471.00,4527.00,4571.00,4596.00,16362.00
"King, Ethridge A., Jr.",361.00,743.00,1225.00,1660.00,2185.00,2658.00,3026.00,3312.00,3502.00,3660.00,3772.00,3862.00,3940.00,4014.00,4071.00,4125.00,4167.00,4220.00,4262.00,4288.00,16670.00
"LaTremouille, Robert J.",126.00,257.00,413.00,558.00,717.00,852.00,963.00,1105.00,1239.00,1343.00,1450.00,1527.00,1602.00,1682.00,1753.00,1825.00,1904.00,1979.00,2055.00,2098.00,18860.00
"Maher, David P.",1190.00,2700.00,4124.00,5227.00,5878.00,6401.00,6811.00,7089.00,7304.00,7437.00,7525.00,7583.00,7656.00,7707.00,7755.00,7796.00,7836.00,7875.00,7898.00,7917.00,13041.00
"Murphy, Brian",1362.00,2724.00,3853.00,4827.00,5717.00,6289.00,6785.00,7132.00,7351.00,7458.00,7518.00,7587.00,7641.00,7698.00,7745.00,7773.00,7802.00,7841.00,7863.00,7878.00,13080.00
"Pitkin, John",1010.00,1791.00,2342.00,2823.00,3249.00,3640.00,3896.00,4117.00,4310.00,4424.00,4516.00,4611.00,4679.00,4743.00,4824.00,4895.00,4944.00,4975.00,5021.00,5055.00,15903.00
"Reeves, Kenneth E.",1525.00,2686.00,3701.00,4616.00,5414.00,6007.00,6421.00,6689.00,6896.00,6994.00,7069.00,7122.00,7168.00,7206.00,7242.00,7286.00,7323.00,7363.00,7402.00,7446.00,13512.00
"Simmons, Denise",1181.00,2726.00,4023.00,5105.00,6011.00,6666.00,7112.00,7413.00,7648.00,7750.00,7812.00,7858.00,7887.00,7924.00,7952.00,7987.00,8032.00,8068.00,8086.00,8109.00,12849.00
"Smith, Aimee Louise",480.00,924.00,1287.00,1565.00,1840.00,2054.00,2250.00,2420.00,2550.00,2658.00,2766.00,2831.00,2895.00,2940.00,2999.00,3063.00,3114.00,3173.00,3221.00,3284.00,17674.00
"Sullivan, Michael A.",1656.00,3608.00,5494.00,6502.00,7168.00,7639.00,7972.00,8251.00,8446.00,8566.00,8644.00,8707.00,8742.00,8777.00,8804.00,8839.00,8874.00,8900.00,8932.00,8958.00,12000.00
"Taymorberry, Laurie",188.00,506.00,939.00,1374.00,1768.00,2142.00,2481.00,2728.00,2942.00,3075.00,3187.00,3262.00,3326.00,3392.00,3441.00,3495.00,3540.00,3599.00,3653.00,3680.00,17278.00
"Toomey, Timothy J., Jr.",1613.00,2776.00,3906.00,5173.00,5805.00,6273.00,6645.00,6948.00,7167.00,7288.00,7388.00,7441.00,7487.00,7518.00,7552.00,7580.00,7614.00,7648.00,7686.00,7717.00,13241.00
writeIns,38.00,69.00,88.00,107.00,128.00,146.00,153.00,159.00,167.00,172.00,176.00,179.00,181.00,183.00,186.00,191.00,192.00,194.00,198.00,202.00,20756.00
