,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Rank 12,Did Not Rank
"Bowman, Manikka L.",12.33,22.63,30.36,36.50,40.48,42.52,43.43,44.02,44.51,44.86,45.16,45.34,54.66
"Cronin, Fran A.",7.00,13.38,18.47,22.38,25.67,28.16,29.53,30.46,31.14,31.73,32.18,32.46,67.54
"Crutchfield, Jake W.",4.63,8.47,12.55,15.62,18.36,20.64,22.07,23.16,23.84,24.45,25.00,25.46,74.54
"Dexter, Emily R.",10.59,22.05,32.15,39.20,43.59,45.80,46.68,47.18,47.55,47.85,47.98,48.17,51.83
"Fantini, Alfred B.",12.15,17.81,22.59,26.75,30.35,32.41,33.59,34.26,34.88,35.36,35.95,36.42,63.58
"Kadete, Elechi M.",3.77,7.66,11.56,14.64,17.38,19.66,21.25,22.27,22.92,23.57,24.18,24.70,75.30
"Kelly, Kathleen M.",8.38,16.93,25.17,31.13,35.37,37.55,38.57,39.29,39.70,40.10,40.41,40.69,59.31
"Kimbrough, Laurance V.",8.27,13.86,18.00,20.92,23.30,25.58,26.75,27.61,28.45,29.23,29.81,30.17,69.83
"MacArthur, William",3.54,6.52,9.48,12.34,14.65,16.80,18.25,19.35,20.30,21.05,21.85,22.36,77.64
"Mitros, Piotr Flawiusz",2.28,4.69,6.97,9.30,11.28,13.17,14.57,15.58,16.49,17.33,17.94,18.58,81.42
"Nolan, Patricia M.",15.40,28.13,38.21,44.48,48.74,50.89,51.86,52.34,52.69,52.95,53.16,53.35,46.65
"Weinstein, David J.",3.55,6.97,10.55,13.45,16.58,19.23,20.95,22.00,22.81,23.43,24.02,24.60,75.40
writeIns,0.35,0.44,0.50,0.56,0.63,0.68,0.74,0.77,0.78,0.78,0.81,0.81,99.19
