,Rank 1,Rank 2,Rank 3,Did Not Rank
Al Flowers,1795.00,6716.00,9740.00,36228.00
Bill McGaughey,232.00,645.00,1118.00,44850.00
Bob Carney Jr.,228.00,733.00,1187.00,44781.00
Christopher Clark,1337.00,2660.00,3495.00,42473.00
Dick Franson,1579.00,6183.00,9609.00,36359.00
James R. Everett,357.00,910.00,1344.00,44624.00
Joey Lombard,444.00,1600.00,3120.00,42848.00
John Charles Wilson,137.00,303.00,509.00,45459.00
Papa John Kolstad,4953.00,8296.00,9666.00,36302.00
R.T. Rybak,33234.00,35656.00,36972.00,8996.00
Tom Fiske,650.00,2009.00,2938.00,43030.00
writeIns,211.00,367.00,532.00,45436.00
