,Rank 1,Rank 2,Rank 3,Did Not Rank
Al Flowers,0.67,2.56,5.08,94.92
Aswar Rahman,0.71,2.52,5.03,94.97
Betsy Hodges,17.86,31.80,47.11,52.89
Captain Jack Sparrow,0.41,1.45,3.96,96.04
Charlie Gers,1.16,2.00,2.87,97.13
Christopher Zimmerman,0.00,0.00,0.00,100.00
David John Wilson,0.21,0.61,1.57,98.43
David Rosenfeld,0.45,1.20,2.36,97.64
Gregg A. Iverson,0.32,1.18,2.60,97.40
Ian Simpson,0.11,0.34,0.81,99.19
Jacob Frey,24.65,41.59,51.70,48.30
L.A. Nik,0.58,1.32,2.22,97.78
Nekima Levy-Pounds,14.84,29.79,41.49,58.51
Raymond Dehn,17.09,31.41,41.63,58.37
Ronald Lischeid,0.31,0.70,1.23,98.77
Theron Preston Washington,0.00,0.00,0.00,100.00
Tom Hoch,19.00,35.00,44.38,55.62
Troy Benjegerdes,0.17,0.40,0.74,99.26
writeIns,0.13,0.30,0.63,99.37
