,Rank 1,Rank 2,Rank 3,Did Not Rank
Ahimsa Porter Sumchai,2.30,8.06,12.39,87.61
Gavin Newsom,71.18,75.96,78.41,21.59
George Davis,0.45,1.55,3.18,96.82
Grasshopper Alec Kaplan,0.98,3.21,5.46,94.54
H. Brown,0.62,1.99,3.99,96.01
Harold M. Hoogasian,5.70,11.67,14.34,85.66
John Rinaldi,1.71,4.45,7.97,92.03
Josh Wolf,1.21,3.82,6.94,93.06
Lonnie S. Holmes,1.22,3.94,6.77,93.23
Michael Powers,0.36,1.53,2.97,97.03
Quintin Mecke,6.14,10.73,13.22,86.78
Wilma Pang,4.94,13.95,17.66,82.34
writeIns,0.02,0.02,0.02,99.98
