,Rank 1,Rank 2,Rank 3,Did Not Rank
ANDY THORNLEY,360.00,987.00,1753.00,33356.00
BRIAN J. LARKIN,747.00,1797.00,3168.00,31941.00
DAVID LEE,3402.00,8766.00,13630.00,21479.00
JASON JUNGREIS,612.00,1273.00,2286.00,32823.00
JONATHAN LYENS,611.00,2357.00,4230.00,30879.00
MARJAN PHILHOUR,11099.00,16946.00,19783.00,15326.00
RICHIE GREENBERG,980.00,2382.00,3804.00,31305.00
SAMUEL KWONG,744.00,1950.00,3715.00,31394.00
SANDRA LEE FEWER,12568.00,18360.00,20974.00,14135.00
SHERMAN R. D'SILVA,558.00,1428.00,2570.00,32539.00
