Ballots with first choice:,Number of Ballots,"% of votes to Kelley, Craig A.","% of votes to Simmons, E. Denise","% of votes to Seidel, Sam","% of votes to Decker, Marjorie C.","% of votes to Reeves, Kenneth E.","% of votes to Davis, Henrietta","% of votes to Cheung, Leland","% of votes to Maher, David P.","% of votes to Toomey, Jr., Timothy J.",% of votes to exhaust,percent_sum
"Adkins, Lawrence J.",103.0,10.68,0.0,5.83,1.94,37.86,0.0,16.5,2.91,0.0,24.27,100.0
"Cheung, Leland",756.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
"Davis, Henrietta",1858.0,2.37,2.58,2.85,1.13,1.4,85.9,0.86,1.24,0.48,1.18,100.0
"Decker, Marjorie C.",1285.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Flanagan, Mark F.",112.0,8.04,0.0,13.39,1.79,9.82,0.0,25.89,8.04,0.0,33.04,100.0
"Glick, Silvia P.",256.0,17.19,0.0,14.45,10.16,9.77,0.0,23.05,5.08,0.0,20.31,100.0
"Kelley, Craig A.",1250.0,96.96,0.0,1.52,0.16,0.24,0.0,0.4,0.48,0.0,0.24,99.99999999999999
"Leavitt, Neal W.",136.0,10.29,0.0,20.59,5.15,8.09,0.0,22.06,8.09,0.0,25.74,100.0
"Maher, David P.",1286.0,0.0,0.0,1.71,0.93,0.0,0.0,1.17,94.01,0.0,2.18,100.0
"Marquardt, Charles J.",385.0,14.55,0.0,11.17,4.94,3.64,0.0,19.22,10.39,0.0,36.1,99.99999999999999
"Moree, Gregg J.",47.0,14.89,0.0,10.64,2.13,17.02,0.0,12.77,4.26,0.0,38.3,100.0
"Podgers, Kathy",78.0,10.26,0.0,8.97,3.85,7.69,0.0,25.64,8.97,0.0,34.62,100.0
"Reeves, Kenneth E.",1166.0,0.0,0.0,2.57,1.46,92.71,0.0,0.86,1.29,0.0,1.11,99.99999999999997
"Seidel, Sam",900.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Simmons, E. Denise",1785.0,0.56,86.72,2.07,1.18,5.21,0.0,0.9,1.18,0.78,1.4,99.99999999999996
"Stohlman, Jr., Thomas J.",378.0,13.23,0.0,29.89,2.91,3.44,0.0,16.93,12.96,0.0,20.63,99.99999999999999
"Sullivan, Edward J.",885.0,0.0,0.0,10.28,7.68,0.0,0.0,12.09,0.0,0.0,69.94,100.0
"Toomey, Jr., Timothy J.",1748.0,0.8,0.0,1.2,0.74,1.54,0.0,0.86,1.95,89.99,2.92,100.0
"Ward, Larry W.",736.0,0.0,0.0,20.24,8.42,24.32,0.0,9.78,14.27,0.0,22.96,100.0
"Williamson, James M.",90.0,13.33,0.0,15.56,4.44,13.33,0.0,24.44,8.89,0.0,20.0,100.0
"vanBeuzekom, Minka Y.",682.0,14.96,0.0,21.26,5.87,6.6,0.0,23.75,5.87,0.0,21.7,99.99999999999999
writeIns,33.0,9.09,0.0,0.0,6.06,9.09,0.0,24.24,3.03,0.0,48.48,99.99999999999999
