Ballots with first choice:,Number of Ballots,"% of votes to Harding, Jr., Richard","% of votes to Kelly, Kathleen M.","% of votes to Bowman, Manikka L.","% of votes to Fantini, Alfred B.","% of votes to Dexter, Emily R.","% of votes to Nolan, Patricia M.",% of votes to exhaust,percent_sum
"Bowman, Manikka L.",1488.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
"Cisternino, Pia",657.0,8.37,12.79,22.83,0.0,27.55,0.0,28.46,100.0
"Cronin, Fran Albin",1418.0,0.0,0.0,21.23,0.0,20.38,0.0,58.39,100.0
"Crutchfield, Jake W.",1221.0,0.0,15.56,18.51,0.0,16.46,0.0,49.47,99.99999999999999
"Dexter, Emily R.",1402.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0
"Fantini, Alfred B.",2721.0,5.84,2.76,1.21,86.59,1.21,0.0,2.39,100.0
"Harding, Jr., Richard",1989.0,98.44,0.65,0.45,0.0,0.2,0.0,0.25,99.99999999999999
"Kadete, Elechi M.",427.0,19.44,13.58,22.95,0.0,16.86,0.0,27.17,100.0
"Kelly, Kathleen M.",1710.0,0.0,99.18,0.35,0.0,0.18,0.0,0.29,99.99999999999999
"Nolan, Patricia M.",3006.0,2.1,6.02,3.49,1.46,4.36,79.84,2.73,100.0
"Weinstein, David J.",696.0,11.21,13.94,24.28,0.0,16.24,0.0,34.34,100.0
writeIns,62.0,6.45,9.68,8.06,0.0,6.45,0.0,69.35,100.0
