Ballots with first choice:,Number of Ballots,"% of votes to Murphy, Brian","% of votes to Sullivan, Michael A.","% of votes to Galluccio, Anthony D.","% of votes to Simmons, Denise","% of votes to Toomey, Timothy J., Jr.","% of votes to Decker, Marjorie C.","% of votes to Reeves, Kenneth E.","% of votes to Davis, Henrietta","% of votes to Maher, David P.",% of votes to exhaust,percent_sum
"Condit, James E., III",63.0,0.0,3.17,0.0,11.11,9.52,14.29,6.35,0.0,19.05,36.51,100.0
"Davis, Henrietta",1713.0,0.76,0.12,0.0,0.88,0.18,0.88,0.76,95.21,0.53,0.7,99.99999999999999
"Decker, Marjorie C.",1540.0,0.0,0.0,0.0,0.06,0.0,99.81,0.0,0.0,0.0,0.13,100.0
"Dixon, Vincent Lawrence",92.0,0.0,0.0,0.0,13.04,6.52,13.04,14.13,0.0,14.13,39.13,100.0
"Galluccio, Anthony D.",3230.0,1.36,11.92,53.03,2.72,5.88,3.16,5.26,2.54,12.11,2.01,100.0
"Hall, Robert L.",153.0,0.0,0.0,0.0,37.91,3.27,0.0,13.73,0.0,22.22,22.88,100.00000000000001
"Horowitz, Jacob",155.0,0.0,0.0,0.0,19.35,5.16,5.81,14.19,0.0,10.32,45.16,100.0
"Iskovitz, Steve",345.0,0.0,0.0,0.0,33.91,4.64,0.0,15.36,0.0,6.96,39.13,99.99999999999999
"Jens, Steven E.",278.0,0.0,0.0,0.0,5.76,12.23,0.0,8.63,0.0,27.7,45.68,100.0
"King, Ethridge A.",378.0,0.0,0.0,0.0,24.87,5.82,0.0,22.75,0.0,15.34,31.22,100.0
"Maher, David P.",1017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
"Murphy, Brian",1716.0,96.5,0.06,0.0,0.64,0.12,0.87,0.52,0.0,0.64,0.64,99.99999999999999
"Peixoto, Helder",69.0,0.0,14.49,0.0,7.25,13.04,7.25,13.04,0.0,10.14,34.78,99.99999999999999
"Pitkin, John",1091.0,0.0,0.0,0.0,0.0,0.0,0.0,21.45,0.0,19.89,58.66,100.0
"Reeves, Kenneth E.",1141.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
"Simmons, Denise",1339.0,0.0,0.0,0.0,92.83,0.9,0.0,3.58,0.0,0.75,1.94,99.99999999999999
"Sullivan, Michael A.",1315.0,0.0,99.39,0.0,0.08,0.3,0.0,0.08,0.0,0.15,0.0,100.0
"Toomey, Timothy J., Jr.",1402.0,0.0,0.0,0.0,0.0,99.29,0.0,0.29,0.0,0.36,0.07,100.0
"Williamson, James M.",58.0,0.0,6.9,0.0,20.69,5.17,12.07,17.24,0.0,5.17,32.76,100.0
writeIns,31.0,0.0,6.45,0.0,9.68,3.23,6.45,19.35,0.0,6.45,48.39,100.0
