Ballots with first choice:,Number of Ballots,"% of votes to Seidel, Sam","% of votes to Davis, Henrietta","% of votes to Simmons, E. Denise","% of votes to Kelley, Craig A.","% of votes to Murphy, Brian","% of votes to Maher, David P.","% of votes to Toomey, Timothy J., Jr.","% of votes to Reeves, Kenneth E.","% of votes to Decker, Marjorie C.",% of votes to exhaust,percent_sum
"Davis, Henrietta",1592.0,1.07,85.68,1.88,1.57,2.89,1.01,0.5,0.44,4.46,0.5,100.00000000000001
"Decker, Marjorie C.",1069.0,0.47,0.0,1.22,0.37,0.65,0.0,0.0,0.0,96.91,0.37,99.99999999999999
"Galluccio, Anthony D.",522.0,6.51,0.0,11.69,13.79,6.32,0.0,0.0,14.56,14.18,32.95,100.0
"Janik, Jonathan S.",261.0,24.14,0.0,6.13,9.58,10.73,7.28,5.36,6.13,12.26,18.39,99.99999999999999
"Kelley, Craig A.",1118.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Maher, David P.",1312.0,0.08,0.0,0.0,0.08,0.0,99.7,0.0,0.0,0.0,0.15,100.0
"Moore, M. Kevin",251.0,11.16,0.0,19.52,5.18,8.76,3.19,0.0,23.11,8.76,20.32,99.99999999999999
"Moree, Gregg J.",111.0,23.42,0.0,7.21,12.61,9.01,8.11,9.01,6.31,8.11,16.22,100.0
"Murphy, Brian",1160.0,0.69,0.0,0.69,0.95,97.16,0.0,0.0,0.0,0.0,0.52,100.0
"Podgers, Kathy",92.0,29.35,0.0,15.22,15.22,5.43,2.17,3.26,8.7,6.52,14.13,100.0
"Reeves, Kenneth E.",1217.0,0.33,0.0,1.4,0.0,0.16,0.0,0.0,97.53,0.33,0.25,100.00000000000001
"Seidel, Sam",1037.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Simmons, E. Denise",996.0,0.7,0.0,98.49,0.7,0.0,0.0,0.0,0.0,0.0,0.1,100.00000000000001
"Sullivan, Edward J.",831.0,8.78,0.0,0.0,20.7,0.0,0.0,0.0,0.0,0.0,70.52,100.0
"Toomey, Timothy J., Jr.",1339.0,0.0,0.0,0.0,0.07,0.0,0.15,99.18,0.22,0.3,0.07,99.99999999999999
"Ward, Larry W.",699.0,19.17,0.0,23.61,13.3,11.87,0.0,0.0,0.0,15.02,17.02,100.0
writeIns,26.0,19.23,0.0,7.69,0.0,3.85,0.0,3.85,7.69,3.85,53.85,100.0
