Ballots with first choice:,Number of Ballots,"% of votes to Simmons, E. Denise","% of votes to McGovern, Marc C.","% of votes to Kelley, Craig A.","% of votes to Carlone, Dennis J.","% of votes to Zondervan, Quinton Y.","% of votes to Toomey, Jr., Timothy J.","% of votes to Mallon, Alanna M.","% of votes to Devereux, Jan","% of votes to Siddiqui, Sumbul",% of votes to exhaust,percent_sum
"Benjamin, Ronald",242.0,0.0,6.2,5.79,10.33,2.48,7.02,6.2,6.61,0.0,55.37,99.99999999999999
"Burgin, Josh M.",392.0,0.0,9.44,12.5,8.67,3.32,8.67,8.67,9.95,0.0,38.78,100.0
"Carlone, Dennis J.",1176.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"D'Ambrosio, Olivia",216.0,0.0,5.56,4.63,14.81,16.67,4.17,17.59,22.22,0.0,14.35,100.0
"Devereux, Jan",1699.0,0.0,0.0,0.77,2.41,1.94,0.18,0.29,94.06,0.0,0.35,100.0
"Gebru, Samuel",787.0,0.0,13.6,7.88,7.24,9.4,5.72,15.63,7.5,0.0,33.04,99.99999999999997
"Harding, Jr., Richard",836.0,0.0,0.0,9.93,12.56,0.0,24.16,0.0,0.0,0.0,53.35,100.0
"Kelley, Craig A.",1092.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Lenke, Dan",54.0,0.0,5.56,1.85,5.56,9.26,7.41,33.33,3.7,0.0,33.33,99.99999999999999
"Levy, Ilan",246.0,0.0,6.5,8.54,12.2,18.7,19.51,8.13,7.72,0.0,18.7,100.0
"Mallon, Alanna M.",1329.0,0.0,0.0,1.28,1.58,0.0,0.3,96.16,0.0,0.0,0.68,99.99999999999999
"McGovern, Marc C.",1880.0,0.0,95.37,0.9,0.8,0.27,0.37,1.28,0.21,0.0,0.8,99.99999999999999
"Moree, Gregg J.",46.0,0.0,10.87,15.22,6.52,2.17,8.7,4.35,2.17,0.0,50.0,100.0
"Musgrave, Adriane B.",580.0,0.0,14.14,12.07,6.38,6.55,2.93,36.38,8.79,0.0,12.76,99.99999999999999
"Okamoto, Nadya T.",550.0,0.0,7.09,6.36,11.09,16.91,4.55,13.64,13.82,0.0,26.55,100.0
"Pillai, Hari I.",107.0,0.0,7.48,6.54,10.28,17.76,7.48,9.35,9.35,0.0,31.78,99.99999999999999
"Santos, Jeff",147.0,0.0,8.16,4.08,12.24,17.01,11.56,6.8,6.12,0.0,34.01,100.0
"Siddiqui, Sumbul",2532.0,0.0,1.15,0.87,1.18,3.0,0.32,1.7,2.21,88.07,1.5,100.0
"Simmons, E. Denise",2616.0,86.12,2.52,1.57,0.84,0.57,2.6,0.88,1.45,0.88,2.56,99.99999999999999
"Sivongxay, Vatsady",740.0,0.0,0.0,7.43,15.41,29.86,3.78,12.7,16.35,0.0,14.46,100.0
"Sutton, Bryan",45.0,0.0,2.22,13.33,6.67,8.89,24.44,2.22,13.33,0.0,28.89,99.99999999999999
"Tierney, Sean",779.0,0.0,0.0,13.22,9.37,7.19,12.07,21.18,9.5,0.0,27.47,99.99999999999999
"Toner, Paul F.",980.0,0.0,0.0,28.57,14.39,0.0,0.0,0.0,0.0,0.0,57.04,100.0
"Toomey, Jr., Timothy J.",1619.0,0.0,0.0,0.86,0.86,0.0,97.59,0.0,0.0,0.0,0.68,100.0
"Volmar, Gwen Thomas",248.0,0.0,9.68,4.44,11.29,14.92,5.65,20.56,10.48,0.0,22.98,100.0
"Zondervan, Quinton Y.",1565.0,0.0,0.0,1.09,4.92,92.59,0.32,0.83,0.0,0.0,0.26,99.99999999999999
writeIns,21.0,0.0,19.05,14.29,19.05,4.76,4.76,0.0,0.0,0.0,38.1,100.0
