Ballots with first choice:,Number of Ballots,"% of votes to Davis, Henrietta","% of votes to Sullivan, Michael A.","% of votes to Simmons, Denise","% of votes to Murphy, Brian","% of votes to Reeves, Kenneth E.","% of votes to Toomey, Timothy J., Jr.","% of votes to Kelley, Craig A.","% of votes to Decker, Marjorie C.","% of votes to Galluccio, Anthony D.",% of votes to exhaust,percent_sum
"Adkins, Lawrence J.",243.0,9.05,0.0,20.16,3.29,22.22,3.7,16.46,9.05,0.0,16.05,99.99999999999999
"Condit, James E., III",42.0,11.9,9.52,7.14,2.38,2.38,2.38,11.9,9.52,0.0,42.86,100.0
"Davis, Henrietta",1459.0,97.4,0.0,1.1,0.96,0.27,0.0,0.14,0.0,0.0,0.14,100.00000000000001
"Decker, Marjorie C.",1524.0,1.97,0.0,1.44,0.46,0.52,0.13,0.46,94.75,0.0,0.26,100.0
"Galluccio, Anthony D.",2001.0,1.1,6.3,1.25,1.0,2.45,3.6,1.1,1.6,80.36,1.25,99.99999999999999
"Gordon, Jesse A.",626.0,11.82,0.0,10.06,12.62,7.03,2.08,22.84,13.26,0.0,20.29,100.0
"Green, Andre Lerone",181.0,3.87,5.52,9.39,5.52,5.52,9.94,21.55,3.31,0.0,35.36,100.0
"Hall, Robert Lee, Sr.",75.0,6.67,5.33,10.67,2.67,17.33,1.33,25.33,4.0,0.0,26.67,100.0
"Hees, Bill",198.0,5.05,0.0,3.54,7.58,2.02,10.1,31.31,2.53,0.0,37.88,99.99999999999999
"Kelley, Craig A.",1042.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
"LaTremouille, Robert J.",118.0,10.17,7.63,7.63,7.63,11.02,1.69,25.42,5.08,0.0,23.73,99.99999999999999
"Maher, David P.",902.0,0.0,0.0,7.76,18.51,9.09,28.27,8.31,0.0,0.0,28.05,99.99999999999999
"Murphy, Brian",1236.0,0.0,0.0,0.0,98.46,0.32,0.0,0.32,0.0,0.0,0.89,99.99999999999999
"Reeves, Kenneth E.",1207.0,0.0,0.0,0.0,0.0,98.84,0.0,0.75,0.0,0.0,0.41,100.0
"Seidel, Sam",973.0,0.0,0.0,0.0,0.0,0.0,0.0,53.75,0.0,0.0,46.25,100.0
"Simmons, Denise",1330.0,0.0,0.0,94.89,0.98,3.01,0.0,0.68,0.0,0.0,0.45,100.0
"Sullivan, Michael A.",1464.0,0.0,99.39,0.0,0.07,0.07,0.2,0.14,0.07,0.0,0.07,100.0
"Toomey, Timothy J., Jr.",1432.0,0.0,0.0,3.91,2.93,6.15,84.64,1.82,0.0,0.0,0.56,99.99999999999999
writeIns,17.0,0.0,0.0,5.88,17.65,0.0,0.0,0.0,11.76,0.0,64.71,100.0
