Ballots with first choice:,Number of Ballots,"% of votes to Simmons, E. Denise","% of votes to McGovern, Marc C.","% of votes to Nolan, Patricia M.","% of votes to Carlone, Dennis J.","% of votes to Toomey, Jr., Timothy J.","% of votes to Zondervan, Quinton Y.","% of votes to Sobrinho-Wheeler, Jivan","% of votes to Mallon, Alanna M.","% of votes to Siddiqui, Sumbul",% of votes to exhaust,percent_sum
"Akiba, Sukia",362.0,0.0,7.46,6.63,7.18,6.35,12.43,16.02,21.55,0.0,22.38,100.0
"Azeem, Burhan",961.0,0.0,15.92,0.0,3.02,5.52,8.01,27.37,29.14,0.0,11.03,99.99999999999999
"Carlone, Dennis J.",1479.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Franklin, Charles J.",323.0,0.0,10.53,11.46,13.31,6.5,18.58,17.34,10.53,0.0,11.76,100.0
"Kelley, Craig A.",1422.0,0.0,0.0,0.0,51.97,15.47,0.0,0.0,0.0,0.0,32.56,99.99999999999997
"Kopon, Derek Andrew",493.0,0.0,3.04,26.77,30.43,3.45,12.37,5.27,4.67,0.0,14.0,100.00000000000001
"Levy, Ilan",110.0,3.64,2.73,17.27,20.91,6.36,16.36,7.27,5.45,0.0,20.0,99.99999999999999
"Mallon, Alanna M.",1256.0,0.0,0.0,0.0,0.4,0.56,0.0,0.4,98.57,0.0,0.08,100.0
"McGovern, Marc C.",1621.0,0.0,96.36,0.0,0.8,1.3,0.0,1.05,0.0,0.0,0.49,99.99999999999999
"McNary, Jeffery",77.0,9.09,11.69,10.39,6.49,9.09,18.18,12.99,6.49,0.0,15.58,99.99999999999999
"Mednick, Risa",244.0,7.79,9.84,10.66,17.21,2.46,12.3,11.48,17.62,0.0,10.66,100.0
"Moree, Gregg J.",47.0,8.51,4.26,14.89,4.26,21.28,2.13,6.38,6.38,0.0,31.91,100.0
"Musgrave, Adriane",726.0,0.0,21.21,0.0,5.92,6.34,8.13,16.67,28.93,0.0,12.81,99.99999999999999
"Nolan, Patricia M.",1685.0,0.0,0.59,92.7,3.38,0.18,1.6,0.24,0.53,0.0,0.77,100.0
"Pitkin, John",536.0,0.0,5.78,20.52,23.69,7.84,18.28,4.66,4.85,0.0,14.37,100.0
"Siddiqui, Sumbul",2516.0,3.02,1.63,0.76,0.68,0.87,1.79,1.99,3.86,84.42,0.99,100.0
"Simmons, E. Denise",2007.0,99.25,0.2,0.0,0.1,0.15,0.0,0.1,0.2,0.0,0.0,99.99999999999999
"Simon, Ben",294.0,7.14,5.44,10.54,9.52,5.78,17.35,26.53,4.42,0.0,13.27,100.0
"Sobrinho-Wheeler, Jivan",1321.0,0.0,0.0,0.0,1.21,0.61,0.0,98.11,0.0,0.0,0.08,100.0
"Toomey, Jr., Timothy J.",1729.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0
"Williams, Nicola A.",631.0,0.0,5.86,23.14,10.14,3.49,27.89,10.3,8.56,0.0,10.62,99.99999999999997
"Zondervan, Quinton Y.",1382.0,0.0,0.0,0.0,0.72,0.07,98.55,0.58,0.0,0.0,0.07,100.0
writeIns,17.0,5.88,11.76,17.65,0.0,11.76,0.0,5.88,5.88,0.0,41.18,100.0
