Ballots with first choice:,Number of Ballots,% of votes to SAIED KARAMOOZ,% of votes to LIBBY SCHAAF,% of votes to KEN HOUSTON,% of votes to MARCHON TATMON,% of votes to PETER YUAN LIU,% of votes to CEDRIC A. TROUPE,% of votes to JESSE A.J. SMITH,% of votes to CAT BROOKS,% of votes to PAMELA PRICE,% of votes to NANCY SIDEBOTHAM,% of votes to exhaust,percent_sum
CAT BROOKS,40760,0,0,0,0,0,0,0,100,0,0,0,100
CEDRIC A. TROUPE,1128,0,0,0,0,0,100,0,0,0,0,0,100
JESSE A.J. SMITH,743,0,0,0,0,0,0,100,0,0,0,0,100
KEN HOUSTON,2640,0,0,100,0,0,0,0,0,0,0,0,100
LIBBY SCHAAF,84502,0,100,0,0,0,0,0,0,0,0,0,100
MARCHON TATMON,2114,0,0,0,100,0,0,0,0,0,0,0,100
NANCY SIDEBOTHAM,1766,0,0,0,0,0,0,0,0,0,100,0,100
PAMELA PRICE,20794,0,0,0,0,0,0,0,0,100,0,0,100
PETER YUAN LIU,1166,0,0,0,0,100,0,0,0,0,0,0,100
SAIED KARAMOOZ,3005,100,0,0,0,0,0,0,0,0,0,0,100
