Ballots with first choice:,Number of Ballots,% of votes to JOHN AVALOS,% of votes to AHSHA SAFAI,% of votes to exhaust,percent_sum
A. JACKSON MATTESON,1.0,0.0,0.0,100.0,100.0
ADRIAN BERMUDEZ,415.0,24.58,30.12,45.3,100.0
AHSHA SAFAI,5965.0,0.0,100.0,0.0,100.0
ELI M. HORN,394.0,19.54,20.81,59.64,100.0
JOHN AVALOS,6964.0,100.0,0.0,0.0,100.0
JULIO RAMOS,3646.0,35.3,23.83,40.87,100.0
MARY GOODNATURE,459.0,16.12,28.1,55.77,99.99999999999999
MYRNA LIM,4462.0,24.41,28.42,47.18,100.0
RANDY KNOX,2337.0,27.0,27.98,45.01,100.0
writeIns,30.0,3.33,0.0,96.67,99.99999999999999
