Ballots with first choice:,Number of Ballots,% of votes to SANDRA LEE FEWER,% of votes to MARJAN PHILHOUR,% of votes to exhaust,percent_sum
ANDY THORNLEY,360.0,46.39,24.72,28.89,100.0
BRIAN J. LARKIN,747.0,21.95,24.77,53.28,100.0
DAVID LEE,3402.0,39.83,30.63,29.54,99.99999999999999
JASON JUNGREIS,612.0,15.52,27.61,56.86,100.0
JONATHAN LYENS,611.0,37.81,28.31,33.88,100.0
MARJAN PHILHOUR,11099.0,0.0,100.0,0.0,100.0
RICHIE GREENBERG,980.0,14.8,28.27,56.94,100.0
SAMUEL KWONG,744.0,23.92,33.6,42.47,100.0
SANDRA LEE FEWER,12568.0,100.0,0.0,0.0,100.0
SHERMAN R. D'SILVA,558.0,24.01,31.36,44.62,100.0
