,Andrew Sullivan,Bill Barnes,Brett Wheeler,Dan Kalb,Emmett Gilman,Francis Somesel,H. Brown,Jim Siegel,Joseph Blue,Julian Davis,Lisa Feldstein,Michael E. O'connor,Nick Waugh,Patrick M. Ciocca,Phillip House,Phoenix Streets,Rob Anderson,Robert Haaland,Ross Mirkarimi,Susan C. King,Tys Sniffen,Vivian Wilder
first_choice,7.06,4.74,2.37,3.98,1.12,1.05,0.16,4.39,2.28,1.19,9.28,2.47,8.62,0.26,0.18,1.87,0.96,14.59,28.33,2.78,1.95,0.37
Andrew Sullivan,,4.03,5.95,5.89,3.86,14.80,2.04,25.73,5.74,2.23,5.79,5.79,14.05,15.19,2.04,2.87,2.41,3.53,2.94,2.67,8.64,2.54
Bill Barnes,3.72,,8.47,7.46,2.08,5.44,12.24,2.00,8.93,2.51,7.43,2.96,4.89,3.80,2.04,6.76,3.10,8.96,4.48,2.90,2.54,3.39
Brett Wheeler,2.95,4.64,,6.36,4.15,2.72,2.04,2.50,2.87,6.41,2.34,1.48,4.00,5.06,2.04,5.57,7.93,1.76,2.16,4.53,3.39,4.24
Dan Kalb,5.19,8.20,8.47,,4.15,5.44,4.08,3.43,3.35,5.57,7.05,4.17,6.75,2.53,0.00,4.73,5.17,20.30,5.43,10.34,7.29,7.63
Emmett Gilman,0.67,1.64,1.72,0.78,,4.53,2.04,1.72,2.55,3.06,2.79,2.29,0.89,2.53,8.16,2.70,0.69,1.06,1.48,1.39,2.03,3.39
Francis Somesel,3.80,1.98,1.32,2.67,2.67,,0.00,8.01,2.55,2.51,0.77,2.69,0.97,2.53,4.08,1.52,0.34,0.26,0.51,1.39,1.53,5.08
H. Brown,0.13,0.61,0.26,0.16,1.19,0.60,,0.29,1.28,1.67,0.21,0.13,0.31,1.27,8.16,0.51,2.76,0.15,0.18,0.35,0.68,0.85
Jim Siegel,12.40,2.66,4.23,2.98,8.01,12.69,4.08,,7.50,3.62,3.07,12.52,3.45,6.33,2.04,1.86,4.48,1.83,2.05,3.95,12.20,2.54
Joseph Blue,2.24,3.89,1.32,1.10,2.08,6.95,6.12,6.08,,1.67,2.41,2.29,2.60,6.33,4.08,4.39,1.38,1.48,1.17,1.39,1.69,1.69
Julian Davis,0.72,1.50,3.70,1.33,3.26,1.21,8.16,1.43,1.44,,1.81,4.71,1.40,3.80,10.20,2.70,5.86,1.21,1.32,4.99,1.86,8.47
Lisa Feldstein,8.86,14.00,9.79,12.95,17.21,4.23,16.33,5.08,14.99,12.53,,7.40,10.25,5.06,18.37,10.14,5.52,16.96,16.82,17.54,8.47,9.32
Michael E. O'connor,2.78,2.19,3.97,1.49,3.26,6.95,4.08,7.08,5.26,5.29,1.43,,2.45,5.06,6.12,2.87,7.93,1.83,2.81,4.65,4.75,4.24
Nick Waugh,31.87,7.58,10.19,10.05,5.64,5.14,0.00,6.72,7.34,7.24,8.69,4.98,,3.80,4.08,8.11,4.83,8.03,7.52,6.62,9.83,3.39
Patrick M. Ciocca,0.22,0.48,0.53,0.39,1.48,1.21,0.00,0.43,1.28,1.11,0.21,0.27,0.54,,0.00,1.52,0.69,0.33,0.23,0.70,0.17,2.54
Phillip House,0.09,0.00,0.13,0.47,0.00,0.60,0.00,0.00,0.48,0.56,0.21,2.02,0.08,0.00,,0.68,1.38,0.18,0.23,0.35,0.00,0.00
Phoenix Streets,1.57,4.71,3.70,3.06,5.04,3.63,2.04,1.64,4.78,4.74,3.14,2.29,3.49,7.59,4.08,,7.93,2.12,2.12,4.76,2.71,5.93
Rob Anderson,0.49,0.68,2.65,1.02,0.00,0.30,10.20,0.93,1.44,2.23,0.56,1.75,1.59,2.53,0.00,3.72,,1.01,0.54,2.90,0.85,1.69
Robert Haaland,5.91,15.51,8.47,13.50,9.20,3.63,4.08,3.79,10.05,6.69,18.38,8.34,13.47,3.80,8.16,9.12,11.38,,42.23,8.71,10.00,11.02
Ross Mirkarimi,8.77,18.58,18.65,17.97,16.62,11.18,6.12,10.94,12.12,15.88,23.16,13.86,20.77,11.39,4.08,18.24,8.97,23.69,,15.91,15.93,5.93
Susan C. King,1.66,4.64,4.37,6.67,5.34,3.93,6.12,2.29,3.35,9.47,7.71,7.00,4.70,5.06,8.16,6.76,8.97,3.73,3.82,,4.58,14.41
Tys Sniffen,5.55,1.37,0.93,1.73,2.97,3.63,2.04,9.51,1.28,3.06,1.95,11.44,2.21,2.53,2.04,3.55,5.17,1.06,1.75,1.86,,1.69
Vivian Wilder,0.40,1.09,1.19,1.96,1.78,1.21,8.16,0.43,1.44,1.95,0.91,1.62,1.13,3.80,2.04,1.69,3.10,0.51,0.21,2.09,0.85,
