,ALICIA WANG,BRIAN J. LARKIN,ERIC MAR,FIDEL CHRYS GAKUBA,GEORGE FLAMIK,JASON JUNGREIS,NICHOLAS C. BELLONI,SHERMAN R. D''SILVA,SUE LEE,writeIns
first_choice,14.67,3.47,40.51,1.26,1.13,2.14,1.87,0.89,33.92,0.15
ALICIA WANG,,12.02,26.47,14.88,8.62,9.93,11.17,11.67,50.21,0.00
BRIAN J. LARKIN,5.12,,3.38,9.64,25.23,15.47,12.85,9.34,2.56,4.76
ERIC MAR,19.80,11.62,,14.88,8.62,15.31,11.55,12.84,18.60,7.14
FIDEL CHRYS GAKUBA,2.66,3.01,1.78,,8.00,7.17,8.01,6.61,2.12,0.00
GEORGE FLAMIK,1.54,18.34,1.11,5.23,,6.03,10.80,8.17,1.35,0.00
JASON JUNGREIS,3.27,7.52,2.60,7.16,6.77,,5.40,6.61,1.91,0.00
NICHOLAS C. BELLONI,2.11,10.62,2.67,12.12,9.85,6.84,,23.35,2.19,0.00
SHERMAN R. D''SILVA,1.23,6.41,1.06,4.41,7.69,4.72,9.12,,0.76,0.00
SUE LEE,50.09,12.02,24.92,22.87,10.15,21.50,15.83,8.95,,2.38
writeIns,0.05,0.10,0.39,0.00,0.31,0.16,0.00,0.00,0.09,
exhaust,14.13,18.34,35.63,8.82,14.77,12.87,15.27,12.45,20.20,85.71
