,Annie Young,Bob Fine,David Wahstedt,John Butler,John Erwin,Mary Merrill Anderson,Nancy Bernard,Phil Willkie,Tom Nordyke,writeIns
first_choice,18.94,22.07,7.66,3.04,17.39,14.72,5.52,0.00,10.14,0.53
Annie Young,,24.77,15.20,17.12,38.43,26.93,29.17,0.00,18.56,25.93
Bob Fine,13.78,,23.85,14.86,8.31,15.83,11.33,0.00,17.44,18.52
David Wahstedt,3.67,6.35,,11.86,2.79,3.50,5.74,0.00,5.99,7.41
John Butler,3.08,6.45,14.63,,2.31,2.76,8.77,0.00,3.21,0.00
John Erwin,26.87,11.78,11.32,19.97,,26.32,7.14,0.00,28.02,14.81
Mary Merrill Anderson,21.10,23.36,10.19,10.96,19.88,,31.42,0.00,22.17,11.11
Nancy Bernard,16.28,9.96,8.89,14.56,1.93,8.01,,0.00,4.44,14.81
Phil Willkie,0.00,0.00,0.00,0.00,0.00,0.00,0.08,,0.00,0.00
Tom Nordyke,14.83,16.82,14.39,10.36,26.25,16.47,6.36,0.00,,7.41
writeIns,0.39,0.51,1.54,0.30,0.09,0.18,0.00,0.00,0.14,
