,BERNT RAINER WAHL,JACQUELYN MCCORMICK,KAHLIL ''DA MAYOR'' JACOBS-FANTAUZZI,KRISS WORTHINGTON,MARK SCHWARTZ,TOM BATES,ZACHARY RUNNINGWOLF,writeIns
first_choice,4.39,11.36,4.26,21.73,0.02,54.07,3.81,0.36
BERNT RAINER WAHL,,13.71,6.24,4.47,0.00,7.50,13.05,8.95
JACQUELYN MCCORMICK,21.15,,9.82,26.40,27.27,12.72,13.15,6.32
KAHLIL ''DA MAYOR'' JACOBS-FANTAUZZI,8.75,6.01,,15.10,9.09,3.49,25.65,2.63
KRISS WORTHINGTON,14.20,28.69,43.76,,9.09,28.53,14.29,9.47
MARK SCHWARTZ,0.00,0.02,0.04,0.00,,0.01,0.00,0.00
TOM BATES,34.11,23.88,14.16,29.53,9.09,,17.45,12.11
ZACHARY RUNNINGWOLF,9.91,5.97,15.93,8.08,36.36,5.29,,2.11
writeIns,0.43,0.30,0.04,0.23,0.00,0.48,0.20,
exhaust,11.45,21.42,10.00,16.19,9.09,41.98,16.21,58.42
