,"Cote, Adam Roland","Dion, Donna J.","Dion, Mark N.","Eves, Mark W.","Mills, Janet T.","Russell, Diane Marie","Sweet, Elizabeth A.",writeIns
first_choice,35478.00,1596.00,5200.00,17887.00,41735.00,2728.00,20767.00,748.00
"Cote, Adam Roland",,299.00,1027.00,4113.00,9932.00,293.00,3647.00,69.00
"Dion, Donna J.",1455.00,,299.00,261.00,999.00,157.00,604.00,19.00
"Dion, Mark N.",3243.00,237.00,,983.00,3641.00,277.00,1000.00,29.00
"Eves, Mark W.",8566.00,133.00,827.00,,9454.00,361.00,6355.00,31.00
"Mills, Janet T.",10495.00,294.00,1255.00,4858.00,,419.00,5441.00,70.00
"Russell, Diane Marie",708.00,126.00,331.00,510.00,1449.00,,2113.00,11.00
"Sweet, Elizabeth A.",5993.00,183.00,639.00,5935.00,9677.00,1001.00,,54.00
writeIns,53.00,6.00,6.00,17.00,46.00,4.00,29.00,
exhaust,4965.00,318.00,816.00,1210.00,6537.00,216.00,1578.00,465.00
