,ELLEN LEE ZHOU,JOEL VENTRESCA,LONDON N. BREED,MARC ROTH,PAUL YBARRA ROBERTSON,"ROBERT L. JORDAN, JR.",WILMA PANG,writeIns
first_choice,25006.00,13283.00,126221.00,7.00,7649.00,2458.00,4963.00,0.00
ELLEN LEE ZHOU,,1807.00,16504.00,0.00,1746.00,301.00,1488.00,0.00
JOEL VENTRESCA,2449.00,,13630.00,3.00,1745.00,328.00,729.00,0.00
LONDON N. BREED,5086.00,3429.00,,1.00,1083.00,341.00,616.00,0.00
MARC ROTH,1.00,2.00,1.00,,0.00,0.00,1.00,0.00
PAUL YBARRA ROBERTSON,3742.00,1773.00,7985.00,0.00,,654.00,604.00,0.00
"ROBERT L. JORDAN, JR.",1029.00,662.00,4035.00,1.00,783.00,,553.00,0.00
WILMA PANG,5448.00,1789.00,6353.00,1.00,743.00,333.00,,0.00
writeIns,0.00,0.00,1.00,0.00,0.00,0.00,0.00,
exhaust,7251.00,3821.00,77712.00,1.00,1549.00,501.00,972.00,0.00
