,Amy Klobuchar,Bernie Sanders,Elizabeth Warren,Joseph R. Biden,Michael R. Bloomberg,Pete Buttigieg,Tom Steyer,Tulsi Gabbard,Undeclared
first_choice,133.00,7764.00,1402.00,9862.00,97.00,248.00,65.00,124.00,64.00
Amy Klobuchar,,104.00,179.00,755.00,6.00,42.00,5.00,13.00,4.00
Bernie Sanders,9.00,,630.00,4220.00,14.00,34.00,14.00,43.00,2.00
Elizabeth Warren,41.00,2057.00,,1223.00,6.00,74.00,9.00,8.00,4.00
Joseph R. Biden,30.00,3233.00,406.00,,47.00,70.00,19.00,20.00,11.00
Michael R. Bloomberg,3.00,66.00,11.00,303.00,,16.00,7.00,3.00,2.00
Pete Buttigieg,33.00,147.00,120.00,565.00,9.00,,7.00,10.00,2.00
Tom Steyer,5.00,80.00,14.00,400.00,9.00,3.00,,7.00,1.00
Tulsi Gabbard,9.00,467.00,16.00,85.00,1.00,5.00,2.00,,4.00
Undeclared,0.00,117.00,3.00,44.00,1.00,0.00,0.00,7.00,
exhaust,3.00,1493.00,23.00,2267.00,4.00,4.00,2.00,13.00,34.00
