,BERNT RAINER WAHL,JACQUELYN MCCORMICK,KAHLIL ''DA MAYOR'' JACOBS-FANTAUZZI,KRISS WORTHINGTON,MARK SCHWARTZ,TOM BATES,ZACHARY RUNNINGWOLF,writeIns
first_choice,2331.00,6026.00,2260.00,11534.00,11.00,28692.00,2023.00,190.00
BERNT RAINER WAHL,,826.00,141.00,515.00,0.00,2153.00,264.00,17.00
JACQUELYN MCCORMICK,493.00,,222.00,3045.00,3.00,3649.00,266.00,12.00
KAHLIL ''DA MAYOR'' JACOBS-FANTAUZZI,204.00,362.00,,1742.00,1.00,1000.00,519.00,5.00
KRISS WORTHINGTON,331.00,1729.00,989.00,,1.00,8187.00,289.00,18.00
MARK SCHWARTZ,0.00,1.00,1.00,0.00,,4.00,0.00,0.00
TOM BATES,795.00,1439.00,320.00,3406.00,1.00,,353.00,23.00
ZACHARY RUNNINGWOLF,231.00,360.00,360.00,932.00,4.00,1518.00,,4.00
writeIns,10.00,18.00,1.00,27.00,0.00,137.00,4.00,
exhaust,267.00,1291.00,226.00,1867.00,1.00,12044.00,328.00,111.00
