,BEN GOULD,BERNT RAINER WAHL,GUY ''MIKE'' LEE,JESSE ARREGUÍN,KRISS WORTHINGTON,LAURIE CAPITELLI,NAOMI D. PETE,ZACHARY RUNNINGWOLF
first_choice,1744.00,1673.00,954.00,29039.00,4746.00,18995.00,372.00,1621.00
BEN GOULD,,344.00,110.00,1438.00,166.00,1768.00,26.00,126.00
BERNT RAINER WAHL,223.00,,61.00,631.00,347.00,753.00,21.00,178.00
GUY ''MIKE'' LEE,103.00,79.00,,831.00,102.00,349.00,34.00,261.00
JESSE ARREGUÍN,435.00,209.00,182.00,,2296.00,6898.00,41.00,312.00
KRISS WORTHINGTON,188.00,370.00,89.00,11229.00,,2174.00,46.00,189.00
LAURIE CAPITELLI,413.00,203.00,111.00,7412.00,821.00,,63.00,166.00
NAOMI D. PETE,38.00,70.00,45.00,203.00,81.00,179.00,,70.00
ZACHARY RUNNINGWOLF,143.00,146.00,187.00,1429.00,243.00,553.00,39.00,
exhaust,201.00,252.00,169.00,5866.00,690.00,6321.00,102.00,319.00
