,"Condit, James E., III","Davis, Henrietta","Decker, Marjorie C.","Dixon, Vincent Lawrence","Galluccio, Anthony D.","Hall, Robert L.","Horowitz, Jacob","Iskovitz, Steve","Jens, Steven E.","King, Ethridge A.","Maher, David P.","Murphy, Brian","Peixoto, Helder","Pitkin, John","Reeves, Kenneth E.","Simmons, Denise","Sullivan, Michael A.","Toomey, Timothy J., Jr.","Williamson, James M.",writeIns
first_choice,0.37,10.00,8.99,0.54,18.86,0.89,0.91,2.01,1.62,2.21,5.94,10.02,0.40,6.37,6.66,7.82,7.68,8.19,0.34,0.18
"Condit, James E., III",,0.23,0.06,1.09,0.25,1.31,0.00,0.29,10.79,0.26,0.29,0.70,1.45,0.55,0.35,0.22,0.61,0.43,10.34,0.00
"Davis, Henrietta",9.52,,20.91,3.26,4.58,2.61,9.68,8.99,3.24,12.43,3.44,21.15,7.25,22.36,6.84,14.56,3.65,3.42,3.45,6.45
"Decker, Marjorie C.",6.35,22.36,,8.70,6.72,34.64,2.58,10.43,2.52,6.88,5.11,15.85,2.90,9.99,9.55,17.25,4.26,4.85,8.62,3.23
"Dixon, Vincent Lawrence",9.52,0.58,0.45,,0.53,0.65,0.00,2.61,3.60,1.32,0.49,0.12,0.00,0.82,0.61,0.45,0.84,0.71,3.45,3.23
"Galluccio, Anthony D.",7.94,7.76,11.56,7.61,,12.42,3.87,2.90,14.03,7.41,32.45,6.88,13.04,5.13,12.36,5.90,26.31,23.97,6.90,16.13
"Hall, Robert L.",3.17,0.18,1.30,5.43,1.58,,1.94,0.58,1.80,1.06,0.69,0.93,0.00,0.64,0.44,0.75,0.30,0.29,1.72,0.00
"Horowitz, Jacob",1.59,7.01,0.71,2.17,0.56,3.92,,3.48,2.88,3.97,0.49,1.98,1.45,2.20,0.26,0.97,0.30,0.14,5.17,3.23
"Iskovitz, Steve",6.35,0.76,1.69,4.35,0.56,0.65,16.13,,1.80,1.85,0.39,1.28,2.90,2.57,0.61,1.79,0.23,0.21,15.52,9.68
"Jens, Steven E.",15.87,0.35,0.32,10.87,0.84,0.00,2.58,2.32,,1.85,0.79,0.35,1.45,0.82,0.09,0.22,0.23,0.36,1.72,3.23
"King, Ethridge A.",1.59,6.36,3.90,5.43,2.20,4.58,21.29,6.67,4.68,,1.47,4.90,0.00,5.41,5.61,6.12,0.38,0.57,3.45,0.00
"Maher, David P.",6.35,2.98,2.79,1.09,21.49,3.92,0.65,0.87,11.51,4.50,,4.43,4.35,2.84,2.98,1.12,15.44,7.06,0.00,0.00
"Murphy, Brian",0.00,15.70,14.55,3.26,3.13,8.50,8.39,9.86,1.80,12.70,4.13,,4.35,19.62,2.98,10.98,2.51,0.78,5.17,3.23
"Peixoto, Helder",3.17,0.47,0.39,1.09,0.90,0.65,0.00,1.74,1.44,1.06,0.69,1.40,,0.82,0.26,0.22,0.68,2.00,1.72,0.00
"Pitkin, John",1.59,9.63,6.95,8.70,2.26,3.27,9.68,11.59,2.88,6.61,2.06,15.21,5.80,,1.84,7.47,1.44,1.14,10.34,3.23
"Reeves, Kenneth E.",0.00,4.73,8.18,4.35,8.48,5.23,2.58,3.48,2.52,11.38,3.24,3.61,8.70,3.76,,20.84,4.03,3.00,5.17,3.23
"Simmons, Denise",1.59,13.19,13.77,6.52,4.46,5.88,9.68,19.42,3.24,14.29,2.85,11.95,1.45,12.92,34.62,,2.97,2.00,6.90,0.00
"Sullivan, Michael A.",1.59,2.10,4.55,5.43,21.70,2.61,1.29,0.29,5.76,2.12,24.98,3.21,13.04,3.21,7.89,2.84,,34.74,1.72,3.23
"Toomey, Timothy J., Jr.",3.17,1.46,2.53,4.35,10.77,0.65,0.65,1.74,3.24,1.06,7.57,0.58,8.70,2.20,3.77,2.02,27.00,,3.45,0.00
"Williamson, James M.",9.52,0.12,0.13,6.52,0.25,1.31,0.65,5.22,1.44,0.53,0.10,0.29,4.35,0.55,0.44,0.37,0.08,0.21,,0.00
writeIns,1.59,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.00,0.00,0.00,1.45,0.00,0.00,0.00,0.08,0.14,0.00,
exhaust,9.52,3.97,5.26,9.78,8.76,7.19,8.39,7.54,20.50,8.73,8.75,5.19,17.39,3.57,8.50,5.90,8.67,13.98,5.17,41.94
